basYm,rprSexNm,rprAggrNm,estbYr,bizAreaNm,bizBzcCd,bizBzcCdNm,empeCntNm,fnafBasYr,debtTsumAmt
202208,여성,30대,2019,강원도 강릉시,46,도매 및 상품 중개업,0명,2020,39000000
202208,남성,50대,2012,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2021,380000000
202208,남성,60대,1998,강원도 강릉시,45,자동차 및 부품 판매업,0명,2017,118000000
202208,남성,60대,1997,강원도 강릉시,56,음식점 및 주점업,0명,2017,9000000
202208,남성,40대,2012,강원도 강릉시,46,도매 및 상품 중개업,0명,2018,122000000
202208,남성,60대,1997,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,7000000
202208,남성,60대,2004,강원도 강릉시,45,자동차 및 부품 판매업,0명,2015,101000000
202208,남성,60대,2014,강원도 강릉시,10,식료품 제조업,10명 이상 30명 미만,2021,524000000
202208,여성,60대,1982,강원도 강릉시,47,소매업; 자동차 제외,0명,2017,524000000
202208,여성,30대,2020,강원도 강릉시,45,자동차 및 부품 판매업,0명,2021,32000000
202208,여성,50대,2007,강원도 강릉시,56,음식점 및 주점업,0명,2020,63000000
202208,여성,60대,2013,강원도 강릉시,56,음식점 및 주점업,0명,2019,9000000
202208,여성,50대,2012,강원도 강릉시,96,기타 개인 서비스업,0명,2013,37000000
202208,남성,60대,2009,강원도 강릉시,46,도매 및 상품 중개업,0명,2021,63000000
202208,남성,40대,2018,강원도 강릉시,46,도매 및 상품 중개업,5명 이상 10명 미만,2020,26000000
202208,남성,30대,2017,강원도 강릉시,56,음식점 및 주점업,0명,2020,2000000
202208,남성,60대,2010,강원도 강릉시,47,소매업; 자동차 제외,0명,2019,524000000
202208,남성,60대,2001,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,524000000
202208,남성,50대,2008,강원도 강릉시,46,도매 및 상품 중개업,0명,2018,10000000
202208,남성,60대,2018,강원도 강릉시,56,음식점 및 주점업,0명,2019,98000000
202208,남성,50대,1998,강원도 강릉시,47,소매업; 자동차 제외,0명,2018,299000000
202208,남성,40대,1998,강원도 강릉시,47,소매업; 자동차 제외,0명,2018,20000000
202208,여성,60대,2004,강원도 강릉시,10,식료품 제조업,1명 이상 5명 미만,2021,524000000
202208,남성,50대,1994,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2018,2000000
202208,남성,60대,1991,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,524000000
202208,남성,50대,2002,강원도 강릉시,10,식료품 제조업,0명,2016,226000000
202208,남성,70대,1996,강원도 강릉시,46,도매 및 상품 중개업,5명 이상 10명 미만,2014,144000000
202208,남성,50대,2004,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2017,3000000
202208,남성,60대,2001,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,524000000
202208,남성,50대,1992,강원도 강릉시,46,도매 및 상품 중개업,5명 이상 10명 미만,2020,455000000
202208,남성,50대,2000,강원도 강릉시,10,식료품 제조업,1명 이상 5명 미만,2020,373000000
202208,남성,60대,2011,강원도 강릉시,45,자동차 및 부품 판매업,0명,2022,112000000
202208,남성,50대,2017,강원도 강릉시,86,보건업,10명 이상 30명 미만,2020,214000000
202208,여성,40대,2014,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2017,157000000
202208,여성,50대,2014,강원도 강릉시,56,음식점 및 주점업,0명,2019,138000000
202208,남성,50대,2014,강원도 강릉시,47,소매업; 자동차 제외,0명,2017,175000000
202208,여성,50대,2014,강원도 강릉시,47,소매업; 자동차 제외,0명,2016,361000000
202208,남성,40대,2013,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,7000000
202208,남성,60대,2013,강원도 강릉시,46,도매 및 상품 중개업,0명,2017,38000000
202208,남성,50대,2012,강원도 강릉시,10,식료품 제조업,0명,2019,1000000
202208,남성,40대,2007,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2018,40000000
202208,남성,40대,2018,강원도 강릉시,95,개인 및 소비용품 수리업,5명 이상 10명 미만,2020,524000000
202208,남성,50대,2002,강원도 강릉시,42,전문직별 공사업,0명,2018,7000000
202208,남성,60대,1988,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2017,46000000
202208,여성,50대,2006,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2019,36000000
202208,여성,50대,2010,강원도 강릉시,96,기타 개인 서비스업,0명,2021,109000000
