basYm,rprSexNm,rprAggrNm,estbYr,bizAreaNm,bizBzcCd,bizBzcCdNm,empeCntNm,fnafBasYr,cptlAmt,saleAmt,bzopPftAmt,crtmNpfAmt,astTsumAmt,debtTsumAmt
202208,남성,50대,2003,강원도 강릉시,42,전문직별 공사업,1명 이상 5명 미만,2021,181000000,1096000000,99000000,86000000,841000000,524000000
202208,남성,50대,1999,강원도 강릉시,47,소매업; 자동차 제외,0명,2018,23000000,1096000000,74000000,75000000,77000000,54000000
202208,여성,40대,2014,강원도 강릉시,47,소매업; 자동차 제외,0명,2017,181000000,719000000,61000000,62000000,414000000,2000000
202208,남성,50대,2002,강원도 강릉시,47,소매업; 자동차 제외,0명,2016,0,170000000,32000000,33000000,5000000,4000000
202208,여성,50대,2012,강원도 강릉시,47,소매업; 자동차 제외,5명 이상 10명 미만,2020,113000000,985000000,94000000,73000000,354000000,241000000
202208,여성,50대,2002,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,91000000,1096000000,99000000,86000000,315000000,224000000
202208,여성,50대,2016,강원도 강릉시,56,음식점 및 주점업,10명 이상 30명 미만,2019,181000000,1096000000,99000000,86000000,841000000,137000000
202208,남성,60대,1992,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,155000000,455000000,43000000,9000000,841000000,524000000
202208,남성,50대,2000,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2018,97000000,1062000000,55000000,47000000,224000000,127000000
202208,남성,40대,2016,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2018,36000000,670000000,34000000,19000000,170000000,134000000
202208,남성,50대,2002,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,181000000,1096000000,99000000,86000000,656000000,320000000
202208,남성,40대,2009,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,165000000,487000000,-5000000,12000000,166000000,1000000
202208,남성,50대,2016,강원도 강릉시,46,도매 및 상품 중개업,0명,2021,109000000,867000000,40000000,40000000,139000000,30000000
202208,남성,60대,2011,강원도 강릉시,56,음식점 및 주점업,1명 이상 5명 미만,2018,59000000,662000000,29000000,34000000,62000000,3000000
202208,여성,40대,1981,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,181000000,996000000,99000000,86000000,793000000,197000000
202208,남성,50대,2011,강원도 강릉시,95,개인 및 소비용품 수리업,5명 이상 10명 미만,2020,181000000,501000000,52000000,56000000,841000000,18000000
202208,남성,50대,1999,강원도 강릉시,45,자동차 및 부품 판매업,1명 이상 5명 미만,2018,146000000,716000000,56000000,55000000,199000000,53000000
202208,여성,50대,2005,강원도 강릉시,47,소매업; 자동차 제외,0명,2020,181000000,848000000,66000000,60000000,499000000,264000000
202208,남성,40대,2016,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,88000000,1096000000,92000000,79000000,110000000,22000000
