basYm,rprSexNm,rprAggrNm,estbYr,bizAreaNm,bizBzcCd,bizBzcCdNm,empeCntNm,csdoClsfNm
202208,남성,40대,2015,경기도 김포시,49,육상 운송 및 파이프라인 운송업,0명,폐업
202208,남성,40대,2012,경기도 김포시,47,소매업; 자동차 제외,0명,폐업
202208,남성,50대,2004,경기도 김포시,46,도매 및 상품 중개업,1명 이상 5명 미만,폐업
202208,여성,50대,2011,경기도 남양주시,10,식료품 제조업,0명,폐업
202208,남성,40대,2021,경기도 남양주시,45,자동차 및 부품 판매업,0명,폐업
202208,남성,40대,2013,경기도 남양주시,46,도매 및 상품 중개업,0명,폐업
202208,여성,30대,2017,경기도 동두천시,47,소매업; 자동차 제외,5명 이상 10명 미만,폐업
202208,남성,40대,2015,경기도 부천시,49,육상 운송 및 파이프라인 운송업,0명,폐업
202208,남성,50대,2011,경기도 부천시,47,소매업; 자동차 제외,0명,폐업
202208,남성,50대,1994,경기도 성남시 분당구,46,도매 및 상품 중개업,1명 이상 5명 미만,폐업
202208,남성,60대,2015,경기도 성남시 분당구,49,육상 운송 및 파이프라인 운송업,0명,폐업
202208,여성,40대,2011,경기도 수원시 권선구,26,전자 부품  컴퓨터  영상  음향 및 통신장비 제조업,10명 이상 30명 미만,폐업
202208,남성,40대,2012,경기도 수원시 영통구,28,전기장비 제조업,1명 이상 5명 미만,폐업
202208,남성,40대,2011,경기도 시흥시,46,도매 및 상품 중개업,0명,폐업
202208,남성,70대,1997,경기도 시흥시,46,도매 및 상품 중개업,1명 이상 5명 미만,폐업
202208,남성,40대,2011,경기도 시흥시,46,도매 및 상품 중개업,1명 이상 5명 미만,폐업
202208,남성,40대,2012,경기도 시흥시,46,도매 및 상품 중개업,1명 이상 5명 미만,폐업
202208,남성,40대,2012,경기도 안산시 단원구,46,도매 및 상품 중개업,1명 이상 5명 미만,폐업
202208,여성,40대,2020,경기도 여주시,56,음식점 및 주점업,0명,폐업
202208,남성,40대,2013,경기도 용인시 기흥구,95,개인 및 소비용품 수리업,10명 이상 30명 미만,폐업
202208,남성,60대,2011,경기도 파주시,45,자동차 및 부품 판매업,5명 이상 10명 미만,폐업
202208,남성,30세 미만,2021,경기도 평택시,56,음식점 및 주점업,0명,폐업
202208,남성,40대,2012,경기도 하남시,46,도매 및 상품 중개업,0명,폐업
202208,남성,40대,2010,경기도 화성시,10,식료품 제조업,0명,폐업
202208,남성,40대,2014,경상남도 김해시,49,육상 운송 및 파이프라인 운송업,0명,폐업
202208,남성,50대,2019,경상남도 양산시,56,음식점 및 주점업,0명,폐업
202208,여성,60대,2020,경상남도 양산시,45,자동차 및 부품 판매업,0명,폐업
202208,남성,50대,2001,경상남도 창원시 의창구,25,금속가공제품 제조업; 기계 및 가구 제외,1명 이상 5명 미만,폐업
202208,남성,30대,2021,경상남도 창원시 진해구,56,음식점 및 주점업,1명 이상 5명 미만,폐업
202208,남성,40대,2021,경상북도 경주시,56,음식점 및 주점업,0명,폐업
202208,남성,50대,2021,경상북도 영주시,56,음식점 및 주점업,0명,폐업
202208,남성,60대,1988,경상북도 칠곡군,13,섬유제품 제조업; 의복 제외,10명 이상 30명 미만,폐업
202208,남성,30대,2012,경상북도 칠곡군,46,도매 및 상품 중개업,5명 이상 10명 미만,폐업
202208,남성,40대,2012,경상북도 칠곡군,29,기타 기계 및 장비 제조업,0명,폐업
202208,여성,50대,2019,경상북도 포항시 북구,56,음식점 및 주점업,0명,폐업
202208,남성,50대,2014,경상북도 포항시 북구,41,종합 건설업,0명,폐업
202208,남성,50대,2021,광주광역시 광산구,49,육상 운송 및 파이프라인 운송업,0명,폐업
202208,남성,40대,2013,광주광역시 북구,42,전문직별 공사업,0명,폐업
202208,남성,40대,2011,광주광역시 북구,46,도매 및 상품 중개업,1명 이상 5명 미만,폐업
202208,남성,30대,2012,대구광역시 달서구,46,도매 및 상품 중개업,0명,폐업
202208,남성,50대,2011,대구광역시 달서구,95,개인 및 소비용품 수리업,0명,휴업
202208,남성,40대,2012,대구광역시 동구,47,소매업; 자동차 제외,0명,폐업
202208,남성,40대,2012,대구광역시 북구,42,전문직별 공사업,0명,폐업
202208,남성,40대,2011,대구광역시 북구,46,도매 및 상품 중개업,5명 이상 10명 미만,폐업
202208,남성,40대,2012,대구광역시 북구,47,소매업; 자동차 제외,0명,폐업
202208,남성,40대,2010,대구광역시 수성구,46,도매 및 상품 중개업,5명 이상 10명 미만,폐업
202208,남성,50대,2021,대구광역시 수성구,45,자동차 및 부품 판매업,1명 이상 5명 미만,폐업
202208,여성,30대,2013,대구광역시 수성구,47,소매업; 자동차 제외,0명,폐업
202208,남성,60대,2021,대전광역시 대덕구,49,육상 운송 및 파이프라인 운송업,0명,폐업
202208,여성,50대,2022,대전광역시 동구,45,자동차 및 부품 판매업,0명,폐업
202208,남성,50대,2017,대전광역시 유성구,47,소매업; 자동차 제외,0명,폐업
202208,남성,30대,2016,부산광역시 강서구,29,기타 기계 및 장비 제조업,1명 이상 5명 미만,폐업
202208,여성,40대,2011,부산광역시 북구,46,도매 및 상품 중개업,1명 이상 5명 미만,폐업
202208,남성,70대,1989,부산광역시 사상구,46,도매 및 상품 중개업,1명 이상 5명 미만,폐업
202208,여성,50대,2013,부산광역시 사하구,49,육상 운송 및 파이프라인 운송업,0명,폐업
202208,여성,40대,2007,부산광역시 영도구,47,소매업; 자동차 제외,1명 이상 5명 미만,휴업
