STAT_CODE,STAT_NAME,ITEM_CODE1,ITEM_NAME1,UNIT_NAME,TIME,DATA_VALUE
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197001,573.1
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197002,574
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197003,575.1
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197004,589.7
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197005,598.3
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197006,615
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197007,632.8
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197008,642.8
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197009,666.2
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197010,686.1
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197011,703.2
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197012,722.4
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197101,741.7
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197102,753.6
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197103,771
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197104,791.1
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197105,804.3
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197106,816.8
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197107,835.7
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197108,854
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197109,885.9
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197110,894.5
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197111,905.3
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197112,919.5
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197201,937.5
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197202,947.6
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197203,985.2
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197204,1009
104Y016,1.2.2.1. 예금은행 대출금(말잔),BDCA1,총대출금,십억원 ,197205,1030.1
