STAT_CODE,STAT_NAME,ITEM_CODE1,ITEM_NAME1,UNIT_NAME,TIME,DATA_VALUE
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940411,916.46
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940412,916.25
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940413,914.91
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940414,916.73
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940415,915.53
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940416,913.18
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940418,913.18
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940419,916.27
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940420,918.58
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940421,924.47
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940422,923.34
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940423,923.84
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940425,923.84
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940426,928.11
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940427,930.7
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940428,933.13
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940429,938.28
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940430,943.08
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940502,943.08
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940503,946.78
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940504,949.15
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940506,931.33
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940507,933.65
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940509,933.65
731Y001,3.1.1.1. 주요국 통화의 대원화환율,0000003,원/유로,원 ,19940510,940.86
