STAT_CODE,STAT_NAME,ITEM_CODE1,ITEM_NAME1,UNIT_NAME,TIME,DATA_VALUE
802Y001,1.5.1.1. 주식시장(일),0001000,KOSPI지수,1980.01.04=100 ,19950103,1013.57
802Y001,1.5.1.1. 주식시장(일),0001000,KOSPI지수,1980.01.04=100 ,19950104,997.01
802Y001,1.5.1.1. 주식시장(일),0001000,KOSPI지수,1980.01.04=100 ,19950105,976.06
802Y001,1.5.1.1. 주식시장(일),0001000,KOSPI지수,1980.01.04=100 ,19950106,975.32
802Y001,1.5.1.1. 주식시장(일),0001000,KOSPI지수,1980.01.04=100 ,19950107,988.8
802Y001,1.5.1.1. 주식시장(일),0001000,KOSPI지수,1980.01.04=100 ,19950109,998.32
802Y001,1.5.1.1. 주식시장(일),0001000,KOSPI지수,1980.01.04=100 ,19950110,993.44
802Y001,1.5.1.1. 주식시장(일),0001000,KOSPI지수,1980.01.04=100 ,19950111,999.08
802Y001,1.5.1.1. 주식시장(일),0001000,KOSPI지수,1980.01.04=100 ,19950112,1000.77
802Y001,1.5.1.1. 주식시장(일),0001000,KOSPI지수,1980.01.04=100 ,19950113,976.59
802Y001,1.5.1.1. 주식시장(일),0001000,KOSPI지수,1980.01.04=100 ,19950114,969.56
802Y001,1.5.1.1. 주식시장(일),0001000,KOSPI지수,1980.01.04=100 ,19950116,957.88
802Y001,1.5.1.1. 주식시장(일),0001000,KOSPI지수,1980.01.04=100 ,19950117,956.96
802Y001,1.5.1.1. 주식시장(일),0001000,KOSPI지수,1980.01.04=100 ,19950118,966.66
802Y001,1.5.1.1. 주식시장(일),0001000,KOSPI지수,1980.01.04=100 ,19950119,974.9
802Y001,1.5.1.1. 주식시장(일),0001000,KOSPI지수,1980.01.04=100 ,19950120,973.06
802Y001,1.5.1.1. 주식시장(일),0001000,KOSPI지수,1980.01.04=100 ,19950121,955.11
802Y001,1.5.1.1. 주식시장(일),0001000,KOSPI지수,1980.01.04=100 ,19950123,935.38
