basYm,rprSexNm,rprAggrNm,estbYr,bizAreaNm,bizBzcCd,bizBzcCdNm,empeCntNm,fnafBasYr,debtTsumAmt
202208,여성,30대,2019,강원도 강릉시,46,도매 및 상품 중개업,0명,2020,39000000
202208,남성,50대,2012,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2021,380000000
202208,남성,60대,1998,강원도 강릉시,45,자동차 및 부품 판매업,0명,2017,118000000
202208,남성,60대,1997,강원도 강릉시,56,음식점 및 주점업,0명,2017,9000000
202208,남성,40대,2012,강원도 강릉시,46,도매 및 상품 중개업,0명,2018,122000000
202208,남성,60대,1997,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,7000000
202208,남성,60대,2004,강원도 강릉시,45,자동차 및 부품 판매업,0명,2015,101000000
202208,남성,60대,2014,강원도 강릉시,10,식료품 제조업,10명 이상 30명 미만,2021,524000000
202208,여성,60대,1982,강원도 강릉시,47,소매업; 자동차 제외,0명,2017,524000000
202208,여성,30대,2020,강원도 강릉시,45,자동차 및 부품 판매업,0명,2021,32000000
