region_cd,region_nm,research_date,apt_type,tr_gbn,indices,level_no
26A03,서부산권,202302,0,D,96.06985158,1
26A03,서부산권,202302,1,S,97.34663178,1
27000,대구,202302,0,D,85.39333769,0
27000,대구,202302,3,S,97.71484188,0
28000,인천,202302,1,S,92.79232284,0
29000,광주,202302,0,D,96.39066739,0
29000,광주,202302,1,D,95.29500489,0
30000,대전,202302,0,S,94.42179614,0
30000,대전,202302,1,D,88.89029808,0
31000,울산,202302,0,D,95.52401883,0
31000,울산,202302,7,D,101.5907126,0
36000,세종,202302,1,S,74.15755751,0
36000,세종,202302,7,S,104.0759681,0
41000,경기,202302,7,D,100.8760685,0
41000,경기,202302,3,S,100.6911991,0
41000,경기,202302,7,S,103.9345065,0
41A01,서해안권,202302,1,D,86.10802302,1
41A03,경부2권,202302,3,S,100.3198057,1
41A03,경부2권,202302,3,D,102.4327141,1
41A05,경원권,202302,3,D,100.8952422,1
41A07,동부2권,202302,0,S,103.6261505,1
41A07,동부2권,202302,1,S,106.3867438,1
42000,강원,202302,1,S,103.3678537,0
42000,강원,202302,7,S,103.1715762,0
43000,충북,202302,1,D,101.7033721,0
44000,충남,202302,0,S,100.9059943,0
46000,전남,202302,1,D,96.1996208,0
46000,전남,202302,0,D,98.75339847,0
47000,경북,202302,1,S,99.4084556,0
48000,경남,202302,0,D,98.9105908,0
50000,제주,202302,0,D,102.5113061,0
50000,제주,202302,3,S,101.5036018,0
A1000,전국,202302,7,D,100.6327056,0
A2000,수도권,202302,7,D,100.7007295,0
A2000,수도권,202302,3,S,99.90777113,0
A6000,8개도,202302,0,S,100.8902882,0
11000,서울,202303,0,S,96.27465913,0
11A01,강북지역,202303,7,S,103.9422844,1
11A11,도심권,202303,7,S,104.6384499,2
11A12,동북권,202303,3,S,98.91707924,2
11A13,서북권,202303,7,D,100.0707706,2
11A13,서북권,202303,7,S,104.1408047,2
11A14,서남권,202303,7,S,104.468139,2
11A14,서남권,202303,3,D,96.01184389,2
11A15,동남권,202303,1,S,97.06859395,2
26A01,동부산권,202303,1,D,86.32238804,1
26A02,중부산권,202303,7,S,103.337865,1
26A03,서부산권,202303,0,S,97.64053249,1
27000,대구,202303,0,D,83.90821462,0
30000,대전,202303,1,D,87.39390117,0
36000,세종,202303,3,S,97.68057113,0
41A01,서해안권,202303,1,S,92.32307476,1
41A02,경부1권,202303,1,D,84.88601339,1
41A02,경부1권,202303,0,D,88.38579995,1
41A04,경의권,202303,7,S,103.5274251,1
41A05,경원권,202303,3,S,98.88977122,1
41A05,경원권,202303,1,S,90.37357884,1
41A06,동부1권,202303,3,D,99.68924428,1
41A06,동부1권,202303,0,S,93.83741672,1
41A06,동부1권,202303,7,S,104.9163406,1
42000,강원,202303,0,D,100.3553919,0
45000,전북,202303,7,S,102.7737002,0
46000,전남,202303,1,D,95.57771269,0
46000,전남,202303,7,D,100.7978267,0
47000,경북,202303,3,S,100.7138942,0
47000,경북,202303,7,D,100.3226775,0
48000,경남,202303,7,S,101.3740329,0
A1000,전국,202303,3,D,99.42647565,0
A1000,전국,202303,1,S,93.73518829,0
A2000,수도권,202303,7,D,100.5886564,0
A2001,지방권,202303,3,D,100.2937651,0
A3000,6대광역시,202303,1,S,90.91652862,0
A5000,5대광역시,202303,1,S,90.71362552,0
A6000,8개도,202303,1,D,98.75535342,0
A9000,9개도,202303,7,S,102.7057657,0
11A02,강남지역,202304,0,D,88.91825072,1
11A12,동북권,202304,1,D,84.42281024,2
11A12,동북권,202304,3,D,97.45355205,2
11A14,서남권,202304,3,D,95.52538263,2
11A14,서남권,202304,7,D,100.1130262,2
11A15,동남권,202304,7,S,104.8354742,2
26A01,동부산권,202304,7,D,100.0355563,1
26A01,동부산권,202304,1,D,85.44100477,1
26A02,중부산권,202304,1,S,90.95130122,1
26A02,중부산권,202304,0,D,91.90682786,1
26A03,서부산권,202304,3,D,100.964505,1
26A03,서부산권,202304,0,D,94.65713971,1
28000,인천,202304,1,S,90.86094192,0
28000,인천,202304,3,S,99.14249506,0
30000,대전,202304,1,S,89.90804867,0
31000,울산,202304,0,D,93.1114828,0
36000,세종,202304,7,D,98.60269459,0
36000,세종,202304,3,D,97.55395806,0
29000,광주,202301,0,S,100.4093944,0
41A01,서해안권,202304,1,D,83.49146423,1
41A03,경부2권,202304,7,D,101.2196608,1
41A03,경부2권,202304,1,D,82.27711258,1
