region_cd,region_nm,research_date,apt_type,size_gbn,rate,level_no
A8000,8개시도,202305,35,1,9.092834887698828,0
11A01,강북지역,202305,35,2,4.811669646049339,1
11A14,서남권,202305,35,2,4.70768313693171,1
11A14,서남권,202305,35,3,4.5984811440318545,1
26000,부산,202305,35,1,7.593966075064104,0
36000,세종,202305,35,1,7.172413793103447,0
41000,경기,202305,35,1,8.227596657545233,0
41000,경기,202305,35,2,6.429330777349182,0
43000,충북,202305,35,1,11.218803644526606,0
45000,전북,202305,35,3,5.105237578974915,0
45000,전북,202305,35,1,9.024696131441566,0
46000,전남,202305,35,1,7.604376681085082,0
47000,경북,202305,35,2,8.441791898020586,0
47000,경북,202305,35,1,8.306342692447176,0
A2000,수도권,202305,1,1,5.299582568201016,0
A8000,8개시도,202305,1,2,5.510176365333431,0
11A01,강북지역,202305,1,3,4.810865162381758,1
11A02,강남지역,202305,1,3,4.559464486371371,1
11A13,서북권,202305,1,2,4.865514871304744,1
26000,부산,202305,1,1,5.505882352941176,0
30000,대전,202305,1,3,4.6117647058823525,0
31000,울산,202305,1,3,4.8,0
42000,강원,202305,1,1,6.585365853658537,0
48000,경남,202305,1,3,4.941176470588235,0
A2000,수도권,202305,7,2,6.2475349057347955,0
A5000,5대광역시,202305,7,2,7.283685390401784,0
11A13,서북권,202305,7,2,5.840411549703049,1
11A15,동남권,202305,7,2,5.119039224988253,1
29000,광주,202305,7,3,6.752309058491184,0
30000,대전,202305,7,1,7.091193329859302,0
31000,울산,202305,7,1,8.78048780487805,0
36000,세종,202305,7,1,9.863013698630137,0
A2000,수도권,202304,35,3,4.860273072346631,0
A5000,5대광역시,202304,35,2,6.484734893877342,0
A8000,8개시도,202304,35,2,7.874389556724267,0
11A02,강남지역,202304,35,3,4.30867270735836,1
11A14,서남권,202304,35,2,4.582145946192016,1
11A15,동남권,202304,35,3,4.089033159492352,1
11A15,동남권,202304,35,2,4.150237580993521,1
28000,인천,202304,35,1,9.822576345456662,0
29000,광주,202304,35,3,5.004179144874218,0
36000,세종,202304,35,3,9.200000000000003,0
41000,경기,202304,35,3,5.446026007752393,0
42000,강원,202304,35,2,7.384615384615385,0
44000,충남,202304,35,1,10.153578672848449,0
47000,경북,202304,7,3,6.594385362484944,0
A2000,수도권,202304,7,1,6.979591836734693,0
A2000,수도권,202304,7,3,5.287848368697196,0
A5000,5대광역시,202304,7,1,7.6447033127047685,0
A8000,8개시도,202304,7,1,9.473684210526317,0
11000,서울,202304,7,1,6.116735781439999,0
11A02,강남지역,202304,7,1,5.5956182388673055,1
11A11,도심권,202304,7,1,6.4904421142669495,1
11A13,서북권,202304,7,1,6.578794322312325,1
11A14,서남권,202304,7,1,5.596031245106713,1
26000,부산,202304,7,1,8.08683853459973,0
A2000,수도권,202304,1,1,5.301204819277109,0
A8000,8개시도,202304,1,1,6.587763744328189,0
11000,서울,202304,1,3,4.660194174757278,0
11A12,동북권,202304,1,2,4.800158155790513,1
11A14,서남권,202304,1,2,4.687936046511628,1
11A15,동남권,202304,1,3,4.511967153600394,1
28000,인천,202304,1,3,5.969850940667319,0
29000,광주,202304,1,3,4.645161290322581,0
30000,대전,202304,1,3,4.520616800989897,0
41000,경기,202304,1,3,5.151666721871513,0
42000,강원,202304,1,1,6.4,0
43000,충북,202304,1,3,5.358712979150734,0
44000,충남,202304,1,3,5.3109035239108255,0
47000,경북,202304,1,1,6.666666666666668,0
50000,제주,202304,1,3,5.315306303851299,0
A8000,8개시도,202301,1,3,4.908348705769834,0
11A02,강남지역,202301,1,1,4.459639455931068,1
11A14,서남권,202301,1,3,4.277227722772277,1
28000,인천,202301,1,1,5.152941176470588,0
36000,세종,202301,1,1,5.508196721311476,0
36000,세종,202301,1,3,4.91351023097487,0
41000,경기,202301,1,3,4.88135593220339,0
42000,강원,202301,1,1,6,0
43000,충북,202301,1,3,5,0
50000,제주,202301,7,3,6.109876846118034,0
50000,제주,202301,7,2,6.256361550900301,0
A2001,지방,202301,7,1,8.893662728249193,0
A8000,8개시도,202301,7,1,9.818181818181817,0
11000,서울,202301,7,3,4.298360655737709,0
11A01,강북지역,202301,7,1,6.350294144938295,1
11A14,서남권,202301,7,3,3.975238053831488,1
30000,대전,202301,7,2,6.442076602102552,0
30000,대전,202301,7,3,5.632651031367921,0
31000,울산,202301,7,1,9.96650394524229,0
A8000,8개시도,202301,35,2,7.464889629122983,0
11A15,동남권,202301,35,3,3.9701974002319047,1
11A15,동남권,202301,35,2,3.9449638309891952,1
26000,부산,202301,35,3,5.195259048292176,0
26000,부산,202301,35,1,7.289144627556777,0
29000,광주,202301,35,1,5.835400086968816,0
29000,광주,202301,35,3,5.576714715482495,0
30000,대전,202301,35,1,7.403868037471311,0
A5000,5대광역시,202303,35,1,7.467396030577179,0
11000,서울,202303,35,3,4.197347951861012,0
30000,대전,202303,35,3,7.5457043208286185,0
30000,대전,202303,35,1,7.578947368421051,0
41000,경기,202303,35,3,5.4463823317169995,0
43000,충북,202303,35,3,8.120133873524749,0
50000,제주,202303,35,1,6.324168094505348,0
46000,전남,202303,7,1,10.079800498753116,0
48000,경남,202303,7,3,6.253893813417182,0
11000,서울,202302,35,2,4.288208993816905,0
11A01,강북지역,202302,35,2,4.519659355080435,1
11A02,강남지역,202302,35,1,4.214840830325518,1
11A12,동북권,202302,35,1,5.107262920004947,1
11A14,서남권,202302,35,2,4.3958856107199376,1
26000,부산,202302,35,3,5.4827138592012465,0
28000,인천,202302,35,3,5.8369011209325175,0
30000,대전,202302,35,3,8.307692307692308,0
36000,세종,202302,35,2,5.28,0
42000,강원,202302,35,3,7.0588235294117645,0
43000,충북,202302,35,2,9.552,0
46000,전남,202302,35,3,6.740918543608352,0
46000,전남,202302,35,1,7.461327483983414,0
47000,경북,202302,35,1,9.681046768826379,0
46000,전남,202302,7,2,8.926590538336052,0
46000,전남,202302,7,1,10.637506237788735,0
47000,경북,202302,7,2,8.549222797927461,0
47000,경북,202302,7,3,6.788448818638441,0
50000,제주,202302,7,2,5.992273019961366,0
A1000,전국,202302,7,1,7.6165803108808285,0
A5000,5대광역시,202302,7,3,6.020184777936293,0
A8000,8개시도,202302,7,2,8.529936305732484,0
11000,서울,202302,7,2,5.390199637023595,0
11A02,강남지역,202302,7,1,5.49496656572437,1
11A13,서북권,202302,7,3,4.928120052931502,1
29000,광주,202302,7,2,7.497991669146088,0
31000,울산,202302,7,2,8.571428571428573,0
41000,경기,202301,35,2,6.0232271892775415,0
43000,충북,202301,35,3,7.973034061204032,0
44000,충남,202301,35,2,9.70782178516485,0
47000,경북,202301,35,3,8.502957087199034,0
47000,경북,202301,35,1,9.054980111476,0
50000,제주,202301,35,2,5.904950894006126,0
30000,대전,202303,7,1,7.2,0
31000,울산,202303,7,2,8.601562104535203,0
36000,세종,202303,7,1,9.72972972972973,0
41000,경기,202303,7,1,8.751671326121308,0
42000,강원,202303,7,1,8.499355896474997,0
43000,충북,202303,7,2,8.516313657843478,0
A1000,전국,202303,1,2,5.217391304347826,0
A2001,지방,202303,1,3,4.941176470588235,0
11A01,강북지역,202303,1,3,4.8,1
11A13,서북권,202303,1,2,4.8,1
11A13,서북권,202303,1,1,5.0232558139534875,1
11A15,동남권,202303,1,2,4.8,1
26000,부산,202303,1,2,5.009151220604837,0
27000,대구,202303,1,2,5.111111111111112,0
28000,인천,202303,1,2,6,0
41000,경기,202303,1,3,5.066666666666666,0
43000,충북,202303,1,3,5.217391304347826,0
43000,충북,202303,1,2,5.473665353455172,0
43000,충북,202303,1,1,6.384482011270048,0
47000,경북,202303,1,3,5.263291525064062,0
50000,제주,202303,1,2,5.66809487146862,0
30000,대전,202302,1,1,5.402879639035211,0
