region_cd,region_nm,research_date,apt_type,size_gbn,tr_gbn,indices,level_no
11000,서울,202306,1,10,D,89.77046063680854,0
11A01,강북지역,202306,1,10,D,89.92364814417054,1
11A02,강남지역,202306,1,10,D,89.64658153701198,1
11A11,도심권,202306,1,10,D,92.98681289142412,2
11A12,동북권,202306,1,10,D,88.69304261226313,2
11A13,서북권,202306,1,10,D,93.03779041639798,2
11A14,서남권,202306,1,10,D,86.92584176672428,2
11A15,동남권,202306,1,10,D,93.14828044599004,2
26000,부산,202306,1,10,D,96.93051795913581,0
26A01,동부산권,202306,1,10,D,99.95583007634299,1
26A02,중부산권,202306,1,10,D,95.4676255319592,1
26A03,서부산권,202306,1,10,D,98.0881647086097,1
27000,대구,202306,1,10,D,90.41667316278627,0
28000,인천,202306,1,10,D,95.6050460001788,0
29000,광주,202306,1,10,D,95.80771951683226,0
30000,대전,202306,1,10,D,98.74637509623389,0
31000,울산,202306,1,10,D,98.71354611470854,0
36000,세종,202306,1,10,D,90.57018565520536,0
41000,경기,202306,1,10,D,95.00925567943456,0
41A01,서해안권,202306,1,10,D,96.2955306150315,1
41A02,경부1권,202306,1,10,D,90.45294819636945,1
41A03,경부2권,202306,1,10,D,96.96596163523662,1
41A04,경의권,202306,1,10,D,95.94923830241052,1
41A05,경원권,202306,1,10,D,96.17916337893836,1
41A06,동부1권,202306,1,10,D,97.33273935829038,1
41A07,동부2권,202306,1,10,D,105.34796715207511,1
42000,강원,202306,1,10,D,102.13377863809434,0
43000,충북,202306,1,10,D,105.82552865472825,0
44000,충남,202306,1,10,D,104.08412482565426,0
45000,전북,202306,1,10,D,102.38522202287524,0
46000,전남,202306,1,10,D,96.76178072331606,0
47000,경북,202306,1,10,D,103.32304507514709,0
48000,경남,202306,1,10,D,99.52669657848315,0
50000,제주,202306,1,10,D,99.17819413983084,0
A1000,전국,202306,1,10,D,97.038358338825,0
A2000,수도권,202306,1,10,D,93.3411378197819,0
A2001,지방권,202306,1,10,D,100.25654278054805,0
A3000,6대광역시,202306,1,10,D,96.02930462521259,0
A5000,5대광역시,202306,1,10,D,96.16913930755616,0
A6000,8개도,202306,1,10,D,102.56481812791095,0
A9000,9개도,202306,1,10,D,99.68080249174369,0
11000,서울,202306,1,10,R,102.4031825596681,0
11A01,강북지역,202306,1,10,R,102.8412837996076,1
11A02,강남지역,202306,1,10,R,102.05047234137521,1
11A11,도심권,202306,1,10,R,101.83309202746332,2
11A12,동북권,202306,1,10,R,103.15389337455164,2
11A13,서북권,202306,1,10,R,102.31594094269929,2
11A14,서남권,202306,1,10,R,100.22803724752912,2
11A15,동남권,202306,1,10,R,104.32105478123849,2
26000,부산,202306,1,10,R,101.02749581050548,0
26A01,동부산권,202306,1,10,R,101.27199634497555,1
26A02,중부산권,202306,1,10,R,100.51878588629287,1
26A03,서부산권,202306,1,10,R,102.56999496377617,1
27000,대구,202306,1,10,R,101.29126502250504,0
28000,인천,202306,1,10,R,100.89823614832399,0
29000,광주,202306,1,10,R,97.85478329918662,0
30000,대전,202306,1,10,R,102.6025079732908,0
31000,울산,202306,1,10,R,106.15690191046569,0
36000,세종,202306,1,10,R,97.89241717501156,0
41000,경기,202306,1,10,R,103.40771928627508,0
41A01,서해안권,202306,1,10,R,106.06017874819612,1
41A02,경부1권,202306,1,10,R,101.44117962497252,1
41A03,경부2권,202306,1,10,R,105.18812399019686,1
41A04,경의권,202306,1,10,R,97.4254785241744,1
41A05,경원권,202306,1,10,R,98.97978357313553,1
41A06,동부1권,202306,1,10,R,102.85194016542904,1
41A07,동부2권,202306,1,10,R,106.7619593430178,1
42000,강원,202306,1,10,R,104.09188645941008,0
43000,충북,202306,1,10,R,106.63178528477545,0
44000,충남,202306,1,10,R,104.39240076902662,0
45000,전북,202306,1,10,R,106.12417385657017,0
46000,전남,202306,1,10,R,100.39258139287695,0
47000,경북,202306,1,10,R,104.45844826701621,0
48000,경남,202306,1,10,R,103.87735828034522,0
50000,제주,202306,1,10,R,107.17237081234556,0
A1000,전국,202306,1,10,R,103.12556054545912,0
A2000,수도권,202306,1,10,R,102.79869199371407,0
A2001,지방권,202306,1,10,R,103.39105105753107,0
A3000,6대광역시,202306,1,10,R,101.10398904715608,0
A5000,5대광역시,202306,1,10,R,101.17993932461047,0
A6000,8개도,202306,1,10,R,104.6282547107568,0
A9000,9개도,202306,1,10,R,104.19756554172967,0
11000,서울,202306,1,10,S,92.51697742001696,0
11A01,강북지역,202306,1,10,S,89.37236295842786,1
11A02,강남지역,202306,1,10,S,95.09739016366497,1
11A11,도심권,202306,1,10,S,93.03082098609458,2
11A12,동북권,202306,1,10,S,87.87428111832347,2
11A13,서북권,202306,1,10,S,93.25775198151358,2
11A14,서남권,202306,1,10,S,93.0516793334469,2
11A15,동남권,202306,1,10,S,97.7457895835283,2
26000,부산,202306,1,10,S,90.11263629642512,0
26A01,동부산권,202306,1,10,S,94.93712005215757,1
26A02,중부산권,202306,1,10,S,87.68213068028115,1
26A03,서부산권,202306,1,10,S,92.6683471515358,1
27000,대구,202306,1,10,S,92.34590425856081,0
28000,인천,202306,1,10,S,93.32577732386021,0
29000,광주,202306,1,10,S,93.41979865065508,0
30000,대전,202306,1,10,S,96.7511453861746,0
31000,울산,202306,1,10,S,95.32712404504453,0
36000,세종,202306,1,10,S,95.33494928931414,0
41000,경기,202306,1,10,S,96.44657082566334,0
41A01,서해안권,202306,1,10,S,96.70327923435802,1
41A02,경부1권,202306,1,10,S,92.67807210378987,1
41A03,경부2권,202306,1,10,S,99.52787384258316,1
41A04,경의권,202306,1,10,S,100.5676027966485,1
41A05,경원권,202306,1,10,S,97.00238119926617,1
41A06,동부1권,202306,1,10,S,96.28722986785769,1
41A07,동부2권,202306,1,10,S,103.26312224556725,1
42000,강원,202306,1,10,S,105.2866296902775,0
43000,충북,202306,1,10,S,105.07362287895079,0
44000,충남,202306,1,10,S,106.85696175510878,0
45000,전북,202306,1,10,S,102.96076445509054,0
46000,전남,202306,1,10,S,95.66424490640006,0
47000,경북,202306,1,10,S,102.23864661289254,0
48000,경남,202306,1,10,S,93.84195069297182,0
50000,제주,202306,1,10,S,96.25320131092244,0
A1000,전국,202306,1,10,S,97.25407351586554,0
A2000,수도권,202306,1,10,S,94.85219606318624,0
A2001,지방권,202306,1,10,S,99.33120916586519,0
A3000,6대광역시,202306,1,10,S,93.06934038821944,0
A5000,5대광역시,202306,1,10,S,92.98278786032694,0
A6000,8개도,202306,1,10,S,102.56571065757277,0
A9000,9개도,202306,1,10,S,100.23253148458805,0
11000,서울,202306,1,11,D,82.95214195672857,0
11A01,강북지역,202306,1,11,D,82.94919288844909,1
11A02,강남지역,202306,1,11,D,82.91436930355721,1
11A11,도심권,202306,1,11,D,83.13223391043603,2
11A12,동북권,202306,1,11,D,83.0989721970439,2
11A13,서북권,202306,1,11,D,82.10742569801076,2
11A14,서남권,202306,1,11,D,82.29539625666621,2
11A15,동남권,202306,1,11,D,84.08453886908393,2
26000,부산,202306,1,11,D,89.3178224095277,0
26A01,동부산권,202306,1,11,D,85.62038709176767,1
26A02,중부산권,202306,1,11,D,88.58288526971151,1
26A03,서부산권,202306,1,11,D,93.68018269291122,1
27000,대구,202306,1,11,D,79.49164873309863,0
28000,인천,202306,1,11,D,85.62824283982873,0
29000,광주,202306,1,11,D,94.34302896013892,0
30000,대전,202306,1,11,D,89.972879163338,0
31000,울산,202306,1,11,D,92.36896117280838,0
36000,세종,202306,1,11,D,71.27762478009181,0
41000,경기,202306,1,11,D,84.18539545503087,0
41A01,서해안권,202306,1,11,D,85.93674522277284,1
41A02,경부1권,202306,1,11,D,85.43134473796883,1
41A03,경부2권,202306,1,11,D,82.1043115897296,1
41A04,경의권,202306,1,11,D,82.62921952743369,1
41A05,경원권,202306,1,11,D,79.44152587559907,1
41A06,동부1권,202306,1,11,D,82.41679439427703,1
41A07,동부2권,202306,1,11,D,106.96406820069957,1
42000,강원,202306,1,11,D,100.4202854797491,0
43000,충북,202306,1,11,D,103.05558114836103,0
44000,충남,202306,1,11,D,98.36323588022026,0
45000,전북,202306,1,11,D,99.40720816198805,0
46000,전남,202306,1,11,D,96.10124290519435,0
47000,경북,202306,1,11,D,101.04801040769223,0
48000,경남,202306,1,11,D,97.6427647993659,0
50000,제주,202306,1,11,D,101.5780642513861,0
A1000,전국,202306,1,11,D,89.53127475898215,0
A2000,수도권,202306,1,11,D,84.01953534153479,0
A2001,지방권,202306,1,11,D,94.26479025610536,0
A3000,6대광역시,202306,1,11,D,87.56147199331643,0
A5000,5대광역시,202306,1,11,D,88.12749492328712,0
A6000,8개도,202306,1,11,D,99.39759055462197,0
A9000,9개도,202306,1,11,D,92.4374213109684,0
11000,서울,202306,1,11,R,101.4118674923598,0
11A01,강북지역,202306,1,11,R,102.32643287797443,1
11A02,강남지역,202306,1,11,R,100.29929689951443,1
11A11,도심권,202306,1,11,R,101.503823114355,2
11A12,동북권,202306,1,11,R,102.88830535830343,2
11A13,서북권,202306,1,11,R,100.32242875252996,2
11A14,서남권,202306,1,11,R,100.07696572550934,2
11A15,동남권,202306,1,11,R,100.52884317654315,2
26000,부산,202306,1,11,R,102.59013239870379,0
26A01,동부산권,202306,1,11,R,102.37997566749061,1
26A02,중부산권,202306,1,11,R,101.87168906077235,1
26A03,서부산권,202306,1,11,R,103.5001157462053,1
27000,대구,202306,1,11,R,95.22621948864098,0
28000,인천,202306,1,11,R,101.7660457175218,0
29000,광주,202306,1,11,R,100.50467688408216,0
30000,대전,202306,1,11,R,103.49513471394924,0
31000,울산,202306,1,11,R,109.94071400175773,0
36000,세종,202306,1,11,R,90.03684843865234,0
41000,경기,202306,1,11,R,102.70925093943832,0
41A01,서해안권,202306,1,11,R,105.11117810677935,1
41A02,경부1권,202306,1,11,R,101.73729635316637,1
41A03,경부2권,202306,1,11,R,103.32431825826217,1
41A04,경의권,202306,1,11,R,101.69299843083209,1
41A05,경원권,202306,1,11,R,98.57865494917046,1
41A06,동부1권,202306,1,11,R,100.37686065853254,1
41A07,동부2권,202306,1,11,R,105.67743888132429,1
42000,강원,202306,1,11,R,102.71419273987429,0
43000,충북,202306,1,11,R,108.96546006802733,0
44000,충남,202306,1,11,R,104.96119147826641,0
45000,전북,202306,1,11,R,103.32618178011622,0
46000,전남,202306,1,11,R,100.554547005555,0
47000,경북,202306,1,11,R,106.47780941327595,0
48000,경남,202306,1,11,R,105.07665185714195,0
50000,제주,202306,1,11,R,107.19879945589042,0
A1000,전국,202306,1,11,R,102.74059701828281,0
A2000,수도권,202306,1,11,R,102.1859308360737,0
A2001,지방권,202306,1,11,R,103.19203651794287,0
A3000,6대광역시,202306,1,11,R,101.40999461970256,0
A5000,5대광역시,202306,1,11,R,101.30757079079902,0
A6000,8개도,202306,1,11,R,104.85324070887849,0
A9000,9개도,202306,1,11,R,103.91185725937072,0
11000,서울,202306,1,11,S,90.22907015558775,0
11A01,강북지역,202306,1,11,S,88.19070726660648,1
11A02,강남지역,202306,1,11,S,92.72202864399033,1
11A11,도심권,202306,1,11,S,91.55382372115947,2
11A12,동북권,202306,1,11,S,87.73288021219072,2
