region_cd,region_nm,research_date,apt_type,buy_dom_indices,level_no
11000,서울,202306,0,85.09803921568627,0
11A01,강북지역,202306,0,85.0599101347978,1
11A02,강남지역,202306,0,85.13995609220638,1
11A11,도심권,202306,0,85.25641025641025,2
11A12,동북권,202306,0,86.5999147848317,2
11A13,서북권,202306,0,81.44927536231884,2
11A14,서남권,202306,0,81.78792201616739,2
11A15,동남권,202306,0,89.71447112264764,2
26000,부산,202306,0,84.41184929536958,0
26A01,동부산권,202306,0,83.48880597014924,1
26A02,중부산권,202306,0,87.49124036440084,1
26A03,서부산권,202306,0,80.93047034764827,1
27000,대구,202306,0,81.18351063829788,0
28000,인천,202306,0,87.00980392156863,0
29000,광주,202306,0,90.37108125399872,0
30000,대전,202306,0,79.77303070761015,0
31000,울산,202306,0,77.69953051643192,0
36000,세종,202306,0,100.39603960396039,0
41000,경기,202306,0,86.67987125526122,0
41A01,서해안권,202306,0,90.40549169859514,1
41A02,경부1권,202306,0,90.8130939809926,1
41A03,경부2권,202306,0,90.63838903170522,1
41A04,경의권,202306,0,72.40314430095452,1
41A05,경원권,202306,0,84.95145631067962,1
41A06,동부1권,202306,0,86.0661505981703,1
41A07,동부2권,202306,0,85.42857142857142,1
42000,강원,202306,0,89.84838497033618,0
43000,충북,202306,0,91.69811320754717,0
44000,충남,202306,0,96.04389994895355,0
45000,전북,202306,0,83.65558912386707,0
46000,전남,202306,0,89.19614147909968,0
47000,경북,202306,0,93.12390158172231,0
48000,경남,202306,0,89.80460132366845,0
50000,제주,202306,0,86.1830742659758,0
A1000,전국,202306,0,86.96934460887948,0
A2000,수도권,202306,0,86.17913377046254,0
A2001,지방권,202306,0,87.68136328925686,0
A3000,6대광역시,202306,0,83.89264382269728,0
A5000,5대광역시,202306,0,83.07188244638603,0
A6000,8개도,202306,0,90.47818791946308,0
A9000,9개도,202306,0,88.7362325422959,0
11000,서울,202306,1,85.12882748319642,0
11A01,강북지역,202306,1,84.59931636916066,1
11A02,강남지역,202306,1,85.64083731178846,1
11A11,도심권,202306,1,84.38438438438439,2
11A12,동북권,202306,1,86.69001751313485,2
11A13,서북권,202306,1,78.62010221465076,2
11A14,서남권,202306,1,82.39116309291747,2
11A15,동남권,202306,1,89.86486486486486,2
26000,부산,202306,1,83.57558139534885,0
26A01,동부산권,202306,1,83.86336866902238,1
26A02,중부산권,202306,1,86.41255605381166,1
26A03,서부산권,202306,1,79.251269035533,1
27000,대구,202306,1,79.83870967741935,0
28000,인천,202306,1,86.86915887850469,0
29000,광주,202306,1,89.4980694980695,0
30000,대전,202306,1,78.2208588957055,0
31000,울산,202306,1,76.32696390658172,0
36000,세종,202306,1,100.14084507042253,0
41000,경기,202306,1,86.75503600876735,0
41A01,서해안권,202306,1,90.90731325772389,1
41A02,경부1권,202306,1,91.37596899224806,1
41A03,경부2권,202306,1,91.33676092544988,1
41A04,경의권,202306,1,72.3024054982818,1
41A05,경원권,202306,1,83.15363881401618,1
41A06,동부1권,202306,1,84.9670122525919,1
41A07,동부2권,202306,1,82.78388278388279,1
42000,강원,202306,1,86.66069829901522,0
43000,충북,202306,1,90.6772575250836,0
44000,충남,202306,1,96.29506008010681,0
45000,전북,202306,1,82.98555377207063,0
46000,전남,202306,1,86.30203291384319,0
47000,경북,202306,1,91.8481459682166,0
48000,경남,202306,1,88.61154446177846,0
50000,제주,202306,1,81.55555555555554,0
A1000,전국,202306,1,86.32777777777777,0
A2000,수도권,202306,1,86.25929612929671,0
A2001,지방권,202306,1,86.3895788194261,0
A3000,6대광역시,202306,1,83.06515301085884,0
A5000,5대광역시,202306,1,82.04630788485608,0
A6000,8개도,202306,1,89.20873511060692,0
A9000,9개도,202306,1,88.04256163500173,0
11000,서울,202306,3,82.8862660944206,0
11A01,강북지역,202306,3,83.98926654740609,1
11A02,강남지역,202306,3,81.23324396782843,1
11A11,도심권,202306,3,83.76623376623377,2
11A12,동북권,202306,3,84.47937131630648,2
11A13,서북권,202306,3,83.46560846560847,2
11A14,서남권,202306,3,77.5599128540305,2
11A15,동남권,202306,3,87.10801393728224,2
26000,부산,202306,3,85.36842105263159,0
26A01,동부산권,202306,3,78.37837837837839,1
26A02,중부산권,202306,3,92.02898550724636,1
26A03,서부산권,202306,3,82.5,1
27000,대구,202306,3,81.05590062111801,0
28000,인천,202306,3,81.05590062111801,0
29000,광주,202306,3,90.9090909090909,0
30000,대전,202306,3,82.96703296703298,0
31000,울산,202306,3,78.125,0
36000,세종,202306,3,99.375,0
41000,경기,202306,3,84.21470121628768,0
41A01,서해안권,202306,3,86.81318681318682,1
41A02,경부1권,202306,3,86.46616541353383,1
41A03,경부2권,202306,3,85.12110726643597,1
41A04,경의권,202306,3,69.08713692946057,1
41A05,경원권,202306,3,87.25961538461539,1
41A06,동부1권,202306,3,87.32142857142857,1
41A07,동부2권,202306,3,84.86842105263159,1
42000,강원,202306,3,94.34782608695652,0
43000,충북,202306,3,93.69747899159664,0
44000,충남,202306,3,91.30434782608695,0
45000,전북,202306,3,82.4561403508772,0
46000,전남,202306,3,89.82035928143712,0
47000,경북,202306,3,92.58241758241759,0
48000,경남,202306,3,92.18749999999999,0
50000,제주,202306,3,84.9056603773585,0
A1000,전국,202306,3,84.93055555555556,0
A2000,수도권,202306,3,83.3578611724307,0
A2001,지방권,202306,3,87.59883478984604,0
A3000,6대광역시,202306,3,83.01282051282051,0
A5000,5대광역시,202306,3,83.59519408502773,0
A6000,8개도,202306,3,90.3303787268332,0
A9000,9개도,202306,3,86.63793103448275,0
11000,서울,202306,7,94.30232558139535,0
11A01,강북지역,202306,7,94.50980392156863,1
11A02,강남지역,202306,7,94,1
11A11,도심권,202306,7,95.83333333333333,2
11A12,동북권,202306,7,94,2
11A13,서북권,202306,7,94.28571428571428,2
11A14,서남권,202306,7,91.42857142857143,2
11A15,동남권,202306,7,97.85714285714286,2
26000,부산,202306,7,91.8,0
26A01,동부산권,202306,7,89.33333333333333,1
26A02,중부산권,202306,7,90,1
26A03,서부산권,202306,7,97.14285714285715,1
27000,대구,202306,7,91.91489361702128,0
