region_cd,region_nm,research_date,apt_type,price_gbn,rate,level_no
A2000,수도권,202302,1,A,60.18886041666243,0
26440,강서구,202302,1,A,64.92082264273704,2
41000,경기,202302,3,A,67.70147202301854,0
50110,제주시,202302,1,A,62.98199378800524,1
45110,전주시,202302,1,A,77.76842599233848,1
29140,서구,202302,1,A,75.39818160821763,1
41135,분당구,202302,1,A,49.99318895893195,3
45210,김제시,202302,1,A,69.94057489372769,1
31170,동구,202302,1,A,74.35963355411442,1
A3000,6대광역시,202302,3,A,65.97249009747041,0
29000,광주,202302,1,A,74.80763600042883,0
30170,서구,202302,1,A,69.41058088193493,1
11A02,강남지역,202302,1,A,52.489520760432264,1
A3000,6대광역시,202302,0,A,65.08781716380334,0
A2000,수도권,202302,0,A,61.51901905903029,0
41110,수원시,202302,1,A,60.77251211694724,2
44250,계룡시,202302,1,A,73.24358013004849,1
A6000,8개도,202302,0,A,66.18891171722352,0
41A03,경부2권,202302,0,A,63.09875672337767,1
A3000,6대광역시,202302,7,A,44.534976296395996,0
47190,구미시,202302,1,A,81.67876745772578,1
46130,여수시,202302,1,A,68.44256328020518,1
41173,동안구,202302,1,A,56.20223419092094,3
11500,강서구,202302,1,A,54.951626183739236,3
47230,영천시,202302,1,A,76.44110114982325,1
26000,부산,202302,0,A,61.131935779877246,0
41A07,동부2권,202302,7,A,52.74133457369169,1
41281,덕양구,202302,1,A,62.498071665495324,3
41A04,경의권,202302,1,A,64.23309286599502,1
41A03,경부2권,202302,1,A,63.403610616165516,1
11A01,강북지역,202302,3,A,70.45016082748681,1
48000,경남,202302,1,A,76.18596460270808,0
41610,광주시,202302,1,A,69.06141637509387,2
11000,서울,202302,0,A,58.471496554419055,0
43114,청원구,202302,1,A,77.12284847185464,2
28237,부평구,202302,1,A,65.8723088578483,1
41117,영통구,202302,1,A,58.857868345428045,3
11A14,서남권,202302,1,A,54.63348224238934,2
41461,처인구,202302,1,A,70.98364491004816,3
11230,동대문구,202302,1,A,58.74255163216341,3
41570,김포시,202302,1,A,62.591690617811416,2
A6000,8개도,202302,1,A,77.30727914410551,0
11A15,동남권,202302,0,A,55.671895072945254,2
45180,정읍시,202302,1,A,69.4781441987433,1
41430,의왕시,202302,1,A,60.22335137046547,2
41131,수정구,202305,1,A,58.4083082031266,3
42170,동해시,202305,1,A,77.79225156041541,1
A6000,8개도,202305,0,A,66.02999416504275,0
36000,세종,202305,7,A,40.210583493284524,0
43000,충북,202305,0,A,67.74313405827364,0
29000,광주,202305,7,A,44.584448304756506,0
47210,영주시,202305,1,A,75.18165223865745,1
41220,평택시,202305,1,A,68.61230121857572,2
A1000,전국,202305,1,A,66.27637360643057,0
41A02,경부1권,202306,3,A,65.73093836510841,1
48000,경남,202306,7,A,46.49346725879919,0
29140,서구,202306,1,A,76.07343425703719,1
47290,경산시,202306,1,A,78.16101845021691,1
11A01,강북지역,202306,1,A,54.0735919238425,1
47850,칠곡군,202306,1,A,77.54054690586861,1
48170,진주시,202306,1,A,78.9927887000453,1
31000,울산,202306,3,A,74.54351581754253,0
36000,세종,202306,0,A,46.21382378934577,0
31170,동구,202306,1,A,71.93450208501218,1
A3000,6대광역시,202306,0,A,64.50460985831815,0
28177,미추홀구,202306,1,A,70.15816240178704,1
11305,강북구,202306,1,A,59.22049160466346,3
28000,인천,202306,1,A,63.72382411008599,0
31000,울산,202306,0,A,69.0552148369846,0
41113,권선구,202306,1,A,62.269729075658084,3
27710,달성군,202306,1,A,71.6084504142787,1
41465,수지구,202306,1,A,61.52993179721944,3
44133,서북구,202306,1,A,77.49652864597516,2
11A11,도심권,202306,7,A,43.68057136129934,2
41A07,동부2권,202302,3,M,69.11764705882352,1
26000,부산,202302,3,M,62.580984504806956,0
47000,경북,202302,3,M,63.87499999999999,0
26A02,중부산권,202302,1,M,63.649315716912604,1
11590,동작구,202302,1,M,52.64873675631622,3
41270,안산시,202302,1,M,57.85132581820013,2
A2000,수도권,202302,0,M,61.15722504114789,0
27000,대구,202302,0,M,65.16759548759305,0
41A06,동부1권,202302,1,M,62.768810847088815,1
11A15,동남권,202302,3,M,70.27027027027027,2
43114,청원구,202302,1,M,78.02765073857961,2
26290,남구,202302,1,M,61.60520607375272,2
26A01,동부산권,202302,1,M,59.017105626779276,1
46230,광양시,202302,1,M,85.38011695906432,1
36000,세종,202302,7,M,39.11577918905715,0
41610,광주시,202302,1,M,69.80878559950305,2
36000,세종,202302,0,M,43.03440067243145,0
A9000,9개도,202302,7,M,46.62001870776677,0
11A01,강북지역,202302,7,M,45.04547088633007,1
41550,안성시,202302,1,M,75.7980437228896,2
28000,인천,202305,0,A,65.00079076262146,0
11650,서초구,202305,1,A,49.74071848467197,3
41A07,동부2권,202305,7,A,52.61969903108918,1
48123,성산구,202305,1,A,73.25401817269908,2
30200,유성구,202305,1,A,66.97487712543908,1
41A04,경의권,202305,1,A,63.713114662602656,1
41670,여주시,202305,1,A,82.58677988331503,2
48270,밀양시,202305,1,A,73.10683022670005,1
31140,남구,202305,1,A,70.92623847794226,1
