region_cd,region_nm,research_date,buy_dom_indices,level_no
A5000,5대광역시,20230731,81.8977211068909,0
A3000,6대광역시,20230731,83.0836721592125,0
A6000,8개도,20230731,89.2147537518495,0
A9000,9개도,20230731,89.1665755222575,0
11A02,강남지역,20230731,88.4707287933094,1
11A01,강북지역,20230731,88.1844380403458,1
42000,강원,20230731,87.5394321766561,0
41000,경기,20230731,89.1149138712602,0
48000,경남,20230731,88.592337494619,0
41A02,경부1권,20230731,94.4366689993002,1
41A03,경부2권,20230731,94.2028985507246,1
47000,경북,20230731,92.0425257731959,0
41A05,경원권,20230731,83.6734693877551,1
41A04,경의권,20230731,72.8933631618195,1
29000,광주,20230731,91.3807531380753,0
27000,대구,20230731,79.5745920745921,0
30000,대전,20230731,79.2300380228137,0
11A11,도심권,20230731,90.8794788273616,2
11A15,동남권,20230731,90.6049495875344,2
41A06,동부1권,20230731,87.8958120531154,1
41A07,동부2권,20230731,85.1694915254237,1
26A01,동부산권,20230731,84.8020434227331,1
11A12,동북권,20230731,88.7096774193548,2
26000,부산,20230731,80.9645669291339,0
11A14,서남권,20230731,86.8309859154929,2
26A03,서부산권,20230731,75.2407152682256,1
11A13,서북권,20230731,85.1201478743068,2
11000,서울,20230731,88.32995951417,0
41A01,서해안권,20230731,93.7261551504875,1
36000,세종,20230731,94.6646341463415,0
A2000,수도권,20230731,88.6675562333206,0
31000,울산,20230731,79.4016110471807,0
28000,인천,20230731,87.5126646403242,0
A1000,전국,20230731,87.3677811550152,0
46000,전남,20230731,86.0609480812641,0
45000,전북,20230731,81.3226094727435,0
50000,제주,20230731,81.8840579710145,0
26A02,중부산권,20230731,82.0873786407767,1
A2001,지방권,20230731,86.1758536301131,0
44000,충남,20230731,94.9487554904832,0
43000,충북,20230731,92.9584120982987,0
A5000,5대광역시,20230724,82.2097124253934,0
A3000,6대광역시,20230724,83.324416862829,0
A6000,8개도,20230724,89.2623124075248,0
A9000,9개도,20230724,89.1036858799081,0
11A02,강남지역,20230724,86.7980884109917,1
