region_cd,region_nm,research_date,deal_obj,all_cnt,age01_cnt,age02_cnt,age04_cnt,age05_cnt,age06_cnt,age07_cnt
48740,창녕군,202302,06,49,1,4,19,14,1,2
41133,중원구,202302,06,70,5,19,13,13,4,0
36110,세종시,202302,06,702,35,216,126,71,36,4
41463,기흥구,202302,06,234,10,87,36,30,14,2
41281,덕양구,202302,06,291,12,79,67,46,17,2
41271,상록구,202302,06,249,11,45,56,45,8,43
41830,양평군,202302,06,79,2,5,14,28,12,4
41550,안성시,202302,06,176,7,27,40,38,13,8
51810,인제군,202302,06,16,0,1,3,5,2,0
51230,삼척시,202302,06,60,3,7,25,12,3,0
51720,홍천군,202302,06,53,4,2,14,15,2,2
44131,동남구,202302,06,305,16,56,90,51,24,8
43740,영동군,202302,06,29,2,1,9,11,2,0
47111,남구,202302,06,240,13,54,62,32,18,1
11290,성북구,202302,06,239,4,62,28,27,10,68
11140,중구,202302,06,59,3,11,13,12,5,3
11440,마포구,202302,06,137,8,39,28,19,1,10
26530,사상구,202302,06,131,4,26,33,32,6,1
26230,부산진구,202302,06,257,7,70,51,48,15,4
26500,수영구,202302,06,122,6,39,20,14,9,4
28200,남동구,202302,06,574,28,132,156,80,32,7
28710,강화군,202302,06,69,0,9,13,19,7,2
27230,북구,202302,06,322,13,69,69,57,27,3
30170,서구,202302,06,379,15,95,75,49,17,10
30000,대전,202302,06,1131,49,281,237,172,72,27
41210,광명시,202302,06,180,12,55,32,18,6,0
41135,분당구,202302,06,270,7,97,52,15,9,0
41430,의왕시,202302,06,95,10,34,16,17,6,1
41370,오산시,202302,06,174,12,48,37,22,15,5
41590,화성시,202302,06,1036,63,352,206,107,40,6
51830,양양군,202302,06,23,1,3,4,7,2,1
51780,철원군,202302,06,24,0,2,8,7,2,0
51790,화천군,202302,06,13,0,2,2,4,2,0
43770,음성군,202302,06,124,8,21,34,22,9,3
43113,흥덕구,202302,06,374,21,106,69,48,15,28
43114,청원구,202302,06,239,10,60,60,34,12,2
48123,성산구,202302,06,326,11,114,56,36,12,3
48125,마산합포구,202302,06,186,2,39,42,35,13,2
50000,제주,202302,06,450,21,106,98,75,16,14
45140,익산시,202302,06,241,11,34,58,47,29,13
29110,동구,202302,06,107,10,25,21,15,8,0
11200,성동구,202302,06,105,5,37,22,12,4,1
11710,송파구,202302,06,310,11,82,50,25,17,18
26000,부산,202302,06,2512,122,660,488,394,142,82
11530,구로구,202302,06,181,4,30,26,27,11,50
27140,동구,202302,06,225,7,79,40,33,12,1
26410,금정구,202302,06,149,5,39,27,17,6,27
28237,부평구,202302,06,383,21,77,77,67,37,13
28177,미추홀구,202302,06,323,16,65,77,55,34,17
31140,남구,202302,06,333,25,90,63,32,32,3
30110,동구,202302,06,152,8,33,25,29,20,1
30230,대덕구,202302,06,127,5,29,32,21,11,3
41190,부천시,202302,06,465,27,122,93,74,38,10
41310,구리시,202302,06,66,4,19,11,9,4,1
41220,평택시,202302,06,732,44,155,195,104,44,25
51130,원주시,202302,06,407,17,82,107,79,25,2
41480,파주시,202302,06,350,12,83,84,52,23,0
51800,양구군,202302,06,18,0,2,4,2,3,2
43130,충주시,202302,06,226,14,33,68,38,21,4
43800,단양군,202302,06,30,0,5,8,6,4,1
44760,부여군,202302,06,36,3,4,13,4,4,3
46000,전남,202302,06,2280,75,411,600,443,184,51
46170,나주시,202302,06,117,4,26,19,26,13,0
45180,정읍시,202302,06,77,5,8,15,22,7,3
46790,화순군,202302,06,47,0,5,21,6,5,2
46900,진도군,202302,06,30,1,2,12,8,1,2
46710,담양군,202302,06,22,0,1,6,7,3,0
46840,무안군,202302,06,73,6,15,24,9,1,1
47730,의성군,202302,06,24,1,3,4,5,4,1
48129,진해구,202302,06,135,3,38,35,16,8,2
47900,예천군,202302,06,63,3,14,14,13,3,0
48730,함안군,202302,06,53,4,9,13,11,6,2
48880,거창군,202302,06,30,2,3,9,5,4,0
11380,은평구,202302,06,261,17,42,53,39,21,37
11320,도봉구,202302,06,152,12,43,20,28,9,4
11620,관악구,202302,06,154,9,22,26,20,5,52
11560,영등포구,202302,06,133,3,47,34,12,8,2
27000,대구,202302,06,1725,72,479,358,279,107,21
26350,해운대구,202302,06,264,12,79,52,26,11,15
28720,옹진군,202302,06,23,0,2,10,9,0,0
28185,연수구,202302,06,536,30,171,104,54,19,8
29140,서구,202302,06,222,12,64,44,35,8,0
41171,만안구,202302,06,138,5,38,33,22,10,11
41390,시흥시,202302,06,580,26,176,129,67,21,4
41410,군포시,202302,06,190,13,51,49,34,5,1
41630,양주시,202302,06,279,21,64,53,36,21,4
41670,여주시,202302,06,103,2,11,30,26,15,2
43111,상당구,202302,06,221,7,54,55,33,27,2
51760,평창군,202302,06,71,4,2,21,11,5,22
44150,공주시,202302,06,70,1,8,17,25,7,0
45113,덕진구,202302,06,386,10,102,88,60,16,13
44200,아산시,202302,06,415,20,76,107,73,24,8
45800,부안군,202302,06,40,1,3,11,12,4,1
45770,순창군,202302,06,23,0,4,8,8,0,0
45720,진안군,202302,06,10,0,1,5,0,1,0
46910,신안군,202302,06,12,0,0,3,4,4,0
46830,영암군,202302,06,72,2,6,29,13,7,5
47230,영천시,202302,06,108,1,14,36,21,11,0
47150,김천시,202302,06,140,8,18,40,30,8,4
48170,진주시,202302,06,324,12,94,79,43,17,3
47940,울릉군,202302,06,0,0,0,0,0,0,0
47930,울진군,202302,06,36,1,6,9,9,1,0
48310,거제시,202302,06,182,7,34,51,36,4,0
11410,서대문구,202302,06,206,6,40,25,17,1,86
11170,용산구,202302,06,109,6,20,22,15,4,6
A1000,전국,202302,06,41191,1881,9706,9293,6498,2580,1300
26440,강서구,202302,06,146,3,58,18,16,4,0
26320,북구,202302,06,198,10,47,40,36,15,0
28110,중구,202302,06,135,10,36,29,14,6,2
27260,수성구,202302,06,236,11,64,43,32,13,2
29170,북구,202302,06,330,18,86,89,45,20,16
41000,경기,202302,06,10292,516,2733,2188,1438,578,253
41113,권선구,202302,06,250,14,70,48,35,14,2
41273,단원구,202302,06,288,21,71,69,36,10,3
41287,일산서구,202302,06,207,8,46,59,27,10,4
41650,포천시,202302,06,103,3,17,32,29,2,3
41570,김포시,202302,06,384,15,109,69,44,19,2
51750,영월군,202302,06,42,0,8,16,6,4,2
43760,괴산군,202302,06,23,0,1,3,10,4,4
44000,충남,202302,06,2430,109,465,617,460,186,62
45000,전북,202302,06,1648,63,278,404,336,131,51
44250,계룡시,202302,06,43,2,2,15,11,4,1
46230,광양시,202302,06,228,9,42,57,46,8,11
46860,함평군,202302,06,13,0,0,5,3,4,1
46770,고흥군,202302,06,70,1,5,12,26,7,4
47250,상주시,202302,06,88,0,20,16,31,5,4
47290,경산시,202302,06,250,6,42,66,59,18,1
47113,북구,202302,06,331,12,79,87,67,17,5
48121,의창구,202302,06,167,3,37,45,28,7,2
47850,칠곡군,202302,06,112,3,11,35,21,5,1
50130,서귀포시,202302,06,152,5,25,31,36,6,6
11305,강북구,202302,06,125,10,28,29,19,8,4
11215,광진구,202302,06,118,5,17,29,25,8,6
26170,동구,202302,06,42,4,7,9,8,5,2
27200,남구,202302,06,50,3,8,13,12,5,1
28245,계양구,202302,06,226,7,36,59,60,15,5
31000,울산,202302,06,1029,55,288,213,140,67,11
31200,북구,202302,06,199,6,61,38,23,12,1
41117,영통구,202302,06,424,28,187,52,36,9,2
41150,의정부시,202302,06,328,14,73,72,39,27,21
41800,연천군,202302,06,29,0,2,4,8,8,1
41610,광주시,202302,06,254,11,48,56,49,15,6
41500,이천시,202302,06,157,8,38,31,28,9,5
51190,태백시,202302,06,45,2,6,16,9,3,2
44230,논산시,202302,06,74,4,5,19,26,3,3
44710,금산군,202302,06,43,1,3,12,12,8,2
47000,경북,202302,06,2628,85,509,688,506,181,52
47760,영양군,202302,06,4,0,0,1,1,0,1
47280,문경시,202302,06,58,1,9,10,16,4,2
48220,통영시,202302,06,110,1,16,29,27,15,1
48890,합천군,202302,06,26,1,4,6,7,5,3
48330,양산시,202302,06,260,17,67,60,38,13,4
11000,서울,202302,06,3975,211,965,743,479,216,417
11500,강서구,202302,06,231,20,85,48,19,17,1
26290,남구,202302,06,296,9,80,47,58,13,13
27110,중구,202302,06,106,4,46,18,11,6,2
28140,동구,202302,06,59,4,6,12,12,8,3
31710,울주군,202302,06,202,11,46,56,36,12,2
41173,동안구,202302,06,169,5,59,34,22,5,0
41820,가평군,202302,06,32,0,4,6,11,4,2
51150,강릉시,202302,06,154,9,23,38,32,14,6
43730,옥천군,202302,06,50,2,3,9,15,6,2
43750,진천군,202302,06,123,4,15,31,31,8,3
43150,제천시,202302,06,151,7,28,35,34,12,4
45210,김제시,202302,06,52,1,2,13,15,6,2
46730,구례군,202302,06,11,1,0,2,4,2,0
47170,안동시,202302,06,134,3,26,24,28,13,5
48270,밀양시,202302,06,130,5,8,39,40,11,2
48850,하동군,202302,06,18,1,3,4,5,1,0
47830,고령군,202302,07,3,0,0,2,1,0,0
11000,서울,202302,07,2286,95,699,389,231,117,119
11260,중랑구,202302,07,61,0,24,9,12,4,0
11305,강북구,202302,07,35,1,13,10,2,2,0
11350,노원구,202302,07,176,9,48,50,14,8,0
11320,도봉구,202302,07,99,7,34,10,17,6,0
A1000,전국,202302,07,31337,1399,8615,6699,4258,1754,440
11140,중구,202302,07,32,2,4,8,8,1,0
11710,송파구,202302,07,233,6,72,34,16,13,0
26000,부산,202302,07,2030,67,609,389,290,116,14
26140,서구,202302,07,63,1,9,11,17,12,1
11560,영등포구,202302,07,98,2,41,21,8,6,1
11650,서초구,202302,07,83,4,15,20,6,5,1
11440,마포구,202302,07,83,3,28,14,13,0,1
11590,동작구,202302,07,59,4,17,13,6,4,2
11680,강남구,202302,07,128,7,35,19,8,7,1
27110,중구,202302,07,100,4,46,17,7,6,1
27140,동구,202302,07,186,5,73,33,24,6,0
26290,남구,202302,07,217,6,73,31,28,11,3
26380,사하구,202302,07,198,6,41,54,28,12,2
26440,강서구,202302,07,138,3,57,15,15,3,0
28237,부평구,202302,07,261,17,63,51,40,26,3
28710,강화군,202302,07,11,0,3,1,0,0,0
28720,옹진군,202302,07,0,0,0,0,0,0,0
27290,달서구,202302,07,394,14,121,72,73,18,3
28000,인천,202302,07,2095,107,587,435,280,116,17
28140,동구,202302,07,42,2,5,7,11,6,0
31140,남구,202302,07,312,23,87,56,29,31,2
31710,울주군,202302,07,157,9,40,41,27,9,0
36000,세종,202302,07,692,34,216,123,69,33,4
30110,동구,202302,07,119,6,29,21,21,14,1
30230,대덕구,202302,07,79,3,18,24,11,7,0
30000,대전,202302,07,928,41,251,198,130,49,10
41115,팔달구,202302,07,53,7,13,16,5,2,0
41171,만안구,202302,07,78,1,32,16,8,5,2
41111,장안구,202302,07,94,7,23,21,12,2,0
41113,권선구,202302,07,212,10,68,39,23,12,2
41410,군포시,202302,07,163,10,49,41,27,5,1
41463,기흥구,202302,07,212,10,84,33,22,12,1
41465,수지구,202302,07,265,11,94,40,17,15,0
41220,평택시,202302,07,532,34,147,125,59,17,7
41273,단원구,202302,07,211,14,63,47,25,8,1
41290,과천시,202302,07,48,2,14,12,2,1,0
41271,상록구,202302,07,84,5,23,27,8,5,2
41370,오산시,202302,07,150,12,45,30,17,9,3
41820,가평군,202302,07,10,0,2,1,4,2,0
51110,춘천시,202302,07,212,15,46,46,33,16,1
41480,파주시,202302,07,269,8,73,61,37,15,0
41500,이천시,202302,07,101,5,34,19,9,7,3
51810,인제군,202302,07,4,0,0,0,2,0,0
51820,고성군,202302,07,15,0,5,5,2,0,1
51830,양양군,202302,07,12,0,2,4,3,1,0
51170,동해시,202302,07,74,2,14,19,16,7,3
51720,홍천군,202302,07,26,2,2,6,6,1,1
51210,속초시,202302,07,71,3,14,18,8,4,2
51790,화천군,202302,07,1,0,0,0,0,0,0
43770,음성군,202302,07,90,7,15,21,17,6,2
44000,충남,202302,07,1932,93,423,467,322,128,38
43745,증평군,202302,07,41,1,5,11,11,1,1
43740,영동군,202302,07,12,0,1,6,4,0,0
43114,청원구,202302,07,204,9,56,50,26,9,0
29170,북구,202302,07,281,17,85,76,31,18,7
31000,울산,202302,07,912,50,274,177,116,58,4
41000,경기,202302,07,7913,391,2492,1571,899,368,47
41150,의정부시,202302,07,267,12,66,59,33,22,1
