region_cd,region_nm,research_date,deal_obj,all_area,age01_area,age02_area,age04_area,age05_area,age06_area,age07_area
48740,창녕군,202302,06,3725.7175,59.8758,329.3406,1598.1446,941.2759,37.92,152.8733
41133,중원구,202302,06,4792.2363,452.12,1315.3395,890.16,992.89,257.62,0
36110,세종시,202302,06,56433.1451,2507.7936,17033.0362,9707.946,5841.4916,3487.7562,338.5259
41463,기흥구,202302,06,21491.0335,911.9467,6791.308,3677.203,3647.6985,1347.1267,109.42
41281,덕양구,202302,06,22068.8825,737.096,5658.2116,5215.9558,3123.3753,1513.8235,95.52
41271,상록구,202302,06,20744.3397,641.921,3773.1078,4765.3364,5014.2628,1124.1084,2375.307
41830,양평군,202302,06,9005.8736,219.7407,687.5566,1488.6764,2641.2199,1623.31,652.52
41550,안성시,202302,06,13521.8426,456.3242,1911.272,2629.4941,3733.8652,1051.3459,499.5134
51810,인제군,202302,06,1458.188,0,299.04,231.39,310.288,199.86,0
51230,삼척시,202302,06,4615.1317,174.39,400.1177,2452.34,875.2997,151.1,0
51720,홍천군,202302,06,4292.2062,247.1681,136.3817,1026.1749,1217.62,136.83,129.29
44131,동남구,202302,06,20496.1619,866.0165,3846.1334,6047.8367,3650.2864,1636.5234,492.02
43740,영동군,202302,06,2232.9066,233.32,84.9749,689.4867,846.55,114,0
47111,남구,202302,06,22073.0756,1567.7123,4304.2439,5533.9626,2779.7779,1935.2834,640.05
11290,성북구,202302,06,15393.7523,254.795,3939.842,1973.0406,1369.6,768.4319,4042.5028
11140,중구,202302,06,5173.8483,175.14,520.02,719.5412,1189.802,502.97,968.84
11440,마포구,202302,06,7982.2518,350.63,2132.2126,1515.576,1194.986,48.02,279.04
26530,사상구,202302,06,9845.29022,285.3042,1818.2924,2319.58712,2339.826,386.5332,492.285
26230,부산진구,202302,06,19517.756,274.1572,4637.7074,3671.3811,3292.5581,1211.7835,507.95
26500,수영구,202302,06,8742.1551,339.995,2982.1049,1335.9077,1134.7114,720.4122,62.04
28200,남동구,202302,06,39230.9374,1725.0543,9278.2033,10139.5667,5461.7104,2257.7094,368.65
28710,강화군,202302,06,7005.7298,0,791.278,1402.55,1616.21,925.75,807.97
27230,북구,202302,06,25366.7724,872.2199,5623.9868,5185.1748,4531.8393,2129.4035,175.8053
30170,서구,202302,06,33392.2096,1298.5828,8302.2821,5913.8713,3924.0876,1997.5822,1096.345
30000,대전,202302,06,98752.3455,3928.502,23058.7495,18917.8831,13903.3883,6089.5919,7171.7496
41210,광명시,202302,06,11946.2794,643.1615,3262.0249,2597.6378,1116.145,320.8424,0
41135,분당구,202302,06,23397.4961,531.23,6743.312,5389.9783,1633.0428,739.129,0
41430,의왕시,202302,06,6818.0825,677.9846,2361.0505,1144.5819,1308.5448,395.3007,38.74
41370,오산시,202302,06,12305.5211,875.3073,3480.7181,2619.8793,1540.1479,755.5345,496.433
41590,화성시,202302,06,83702.7179,5197.2966,27279.1799,16049.9694,8171.6953,2858.3084,878.7105
51830,양양군,202302,06,2057.9904,113.37,170.0029,191.8078,702.6016,115.75,156.2
51780,철원군,202302,06,1638.6559,0,241.246,441.67,390.8079,89.4,0
51790,화천군,202302,06,811.27,0,135.3,157.38,293.12,74.7,0
43770,음성군,202302,06,8498.2657,516.2608,1461.8319,2416.9396,1541.3019,659.7873,184.442
43113,흥덕구,202302,06,30048.2403,1465.75,8720.7337,5468.2708,3567.4531,2043.9876,1244.06
43114,청원구,202302,06,20158.1753,752.5731,4829.5451,4981.4823,3015.1035,889.4385,424.87
48123,성산구,202302,06,23668.3009,623.8051,8426.1064,3953.6016,2560.6798,956.2843,133.59
48125,마산합포구,202302,06,16254.0783,108.5918,3401.6214,3367.7164,3311.9872,986.9529,104.29
50000,제주,202302,06,36321.7413,1317.9819,8461.6278,8122.9723,6714.2589,1342.932,704.2232
45140,익산시,202302,06,16207.2619,544.9674,2155.4341,4075.6713,3112.5069,1915.4262,1043.17
29110,동구,202302,06,8917.4098,567.7581,1842.8116,2040.8555,1345.1043,681.9974,0
11200,성동구,202302,06,7280.3009,264.465,2397.1865,1619.553,986.3164,311.687,59.94
11710,송파구,202302,06,23057.4706,925.366,5523.1069,3515.0099,1656.4121,1658.923,1725.51
26000,부산,202302,06,187667.47252,6741.1736,49275.3842,36366.07722,28126.9464,9535.2041,7070.6422
11530,구로구,202302,06,9702.1721,194.18,1879.778,1465.2715,1529.42,719.62,1935.991
27140,동구,202302,06,17723.9882,427.6243,6008.19,3076.9199,3106.3538,830.7791,90.66
26410,금정구,202302,06,12428.0924,417.1514,3180.5724,2166.0904,1226.928,367.9575,2750.97
28237,부평구,202302,06,22333.8178,1247.5717,4633.9349,4417.8953,3534.3417,2363.3054,680.7628
28177,미추홀구,202302,06,19628.314,900.2335,3653.1906,4930.5423,2887.724,2185.4944,1230.93
31140,남구,202302,06,26865.4805,1779.6105,7458.2963,4789.0751,3117.5759,2290.8931,141.77
30110,동구,202302,06,12549.5488,703.8367,2835.156,1975.4461,2056.9705,1185.0393,39.72
30230,대덕구,202302,06,9320.4122,367.065,1965.145,2292.05,1332.8812,1271.2079,572.41
41190,부천시,202302,06,29278.181,1287.3038,7572.0833,5790.4403,4017.401,2221.3848,1405.771
41310,구리시,202302,06,5647.8688,566.4539,1313.3752,1019.9145,695.84,278.7325,435.22
41220,평택시,202302,06,51306.5723,2823.6176,10785.9272,13671.5239,7366.7342,2820.4567,1630.7701
51130,원주시,202302,06,32894.7379,1217.6713,7492.7494,8664.6563,5547.1591,1661.72,172.376
41480,파주시,202302,06,29324.6302,905.1019,6391.2869,7243.9483,4380.4637,2305.3952,0
51800,양구군,202302,06,1191.773,0,111.993,342.78,140.68,174.3,169.8
43130,충주시,202302,06,16964.9204,986.6171,2201.1207,5561.4515,2532.0767,1311.6251,287.9934
43800,단양군,202302,06,1726.06,0,240.175,506.65,355.21,220.76,69.16
44760,부여군,202302,06,3178.6449,215.14,633.0351,1137.98,279.94,294.81,195.4898
46000,전남,202302,06,163795.4452,5448.8986,29370.504,43389.7119,31084.5986,12461.2222,5588.3347
46170,나주시,202302,06,8947.781,386.3113,1951.0539,1324.8413,2238.5495,832.7355,0
45180,정읍시,202302,06,5774.9771,317.833,598.059,988.6558,1474.2032,397.314,247.31
46790,화순군,202302,06,3360.2041,0,349.1194,1570.4543,363.015,258.0115,119.83
46900,진도군,202302,06,2162.0963,59.76,126.5827,1055.6389,532.87,59.76,135.3547
46710,담양군,202302,06,1902.5174,0,107.3,444.9924,663.7131,254.97,0
46840,무안군,202302,06,5793.7005,479.0979,1171.3557,1770.547,763.9224,55.25,118.7178
47730,의성군,202302,06,1650.5752,94.43,225.4804,262.611,293.145,247.3417,194.18
48129,진해구,202302,06,10281.7756,192.8183,3038.7976,2773.5873,1135.8469,520.0364,183.01
47900,예천군,202302,06,4870.2127,240.6276,1139.6177,1032.3224,1056.3332,182.2,0
48730,함안군,202302,06,3904.3851,216.4375,629.1446,1040.7487,923.2059,378.4497,119.09
48880,거창군,202302,06,2128.3958,155.268,208.4484,720.3984,350.3621,235.9933,0
11380,은평구,202302,06,14271.1494,836.371,2112.672,2988.289,2259.609,1774.972,1073.08
11320,도봉구,202302,06,9020.851,646.9,2432.51,1430.82,1671.18,537.74,186.23
11620,관악구,202302,06,9603.6568,306,1372.61,2321.2976,1090.5269,237.417,2225.11
11560,영등포구,202302,06,7840.3924,146.83,2706.5178,2273.521,597.83,515.18,131.13
27000,대구,202302,06,138089.893,4875.7849,38228.5295,28237.0687,22057.5555,8030.1978,2761.5348
26350,해운대구,202302,06,20423.7482,821.0827,6033.5495,3946.6433,2040.5971,764.922,552.1701
28720,옹진군,202302,06,2285.527,0,258.05,691.577,1253.03,0,0
28185,연수구,202302,06,42368.88969,2170.2981,12735.14079,8671.021,4107.2697,1489.5459,437.229
29140,서구,202302,06,17585.3482,740.1935,4969.1354,4083.3047,2549.1319,627.8831,0
41171,만안구,202302,06,9125.862,235.69,2737.5267,2021.0933,1172.7873,1020.298,588.19
41390,시흥시,202302,06,43515.5769,1954.0325,13060.2196,9318.9725,4647.2005,1371.3109,275.09
41410,군포시,202302,06,12399.9264,711.8636,3241.486,3237.029,2623.4975,273.097,51.59
41630,양주시,202302,06,21461.058,1497.6712,4792.4892,4489.0219,2602.5477,1538.1422,444.0218
41670,여주시,202302,06,8134.9273,151.27,823.3077,2387.7947,1927.9974,1141.4306,310.42
43111,상당구,202302,06,18108.76005,491.8837,4318.6415,4204.3901,2625.1663,2130.9137,266.22
51760,평창군,202302,06,6196.6562,326.525,125.77,1695.6337,1043.8075,228.697,2303.081
