region_cd,region_nm,research_date,age_gbn,tr_gbn,indices,level_no
A5000,5대광역시,20230731,11,D,77.5394760518154,0
A3000,6대광역시,20230731,11,D,77.2415652396211,0
A6000,8개도,20230731,11,D,89.502439623483,0
A9000,9개도,20230731,11,D,83.866939524469,0
11A02,강남지역,20230731,11,D,86.0131320572341,1
11A01,강북지역,20230731,11,D,85.5401962845907,1
42000,강원,20230731,11,D,90.9258149388275,0
41000,경기,20230731,11,D,78.9134287000878,0
48000,경남,20230731,11,D,89.6590245935398,0
41A02,경부1권,20230731,11,D,81.5834652389736,1
41A03,경부2권,20230731,11,D,80.3274380332377,1
47000,경북,20230731,11,D,90.8333017216737,0
41A05,경원권,20230731,11,D,71.6992727126561,1
41A04,경의권,20230731,11,D,80.3001948742233,1
29000,광주,20230731,11,D,82.3869170836331,0
27000,대구,20230731,11,D,68.4939876352545,0
30000,대전,20230731,11,D,85.2123502284035,0
11A11,도심권,20230731,11,D,89.1796274048164,2
11A15,동남권,20230731,11,D,88.0204542552332,2
41A06,동부1권,20230731,11,D,78.3901299143038,1
41A07,동부2권,20230731,11,D,95.866431389642,1
26A01,동부산권,20230731,11,D,78.1172453865042,1
11A12,동북권,20230731,11,D,85.5834619678645,2
26000,부산,20230731,11,D,80.5502386897445,0
11A14,서남권,20230731,11,D,83.2693913992712,2
26A03,서부산권,20230731,11,D,86.6126820894444,1
11A13,서북권,20230731,11,D,84.3100447909996,2
11000,서울,20230731,11,D,85.7573636362411,0
41A01,서해안권,20230731,11,D,78.2913357159907,1
36000,세종,20230731,11,D,72.476540169225,0
A2000,수도권,20230731,11,D,79.6644381735907,0
31000,울산,20230731,11,D,76.1154823623597,0
28000,인천,20230731,11,D,75.8421823692088,0
A1000,전국,20230731,11,D,81.9030941813315,0
46000,전남,20230731,11,D,89.0598926709489,0
45000,전북,20230731,11,D,86.1075110533317,0
50000,제주,20230731,11,D,98.4561581470824,0
26A02,중부산권,20230731,11,D,78.6640925982176,1
A2001,지방권,20230731,11,D,83.8428292041003,0
44000,충남,20230731,11,D,85.8047995144339,0
43000,충북,20230731,11,D,91.2229095632665,0
A5000,5대광역시,20230731,11,S,83.6713597117717,0
A3000,6대광역시,20230731,11,S,84.6702506533807,0
A6000,8개도,20230731,11,S,92.561234127628,0
A9000,9개도,20230731,11,S,89.0233576643675,0
11A02,강남지역,20230731,11,S,94.6984538322671,1
11A01,강북지역,20230731,11,S,89.7819981395424,1
42000,강원,20230731,11,S,97.0518526155043,0
41000,경기,20230731,11,S,85.8224915788931,0
48000,경남,20230731,11,S,92.4300371255304,0
41A02,경부1권,20230731,11,S,86.1287101847452,1
41A03,경부2권,20230731,11,S,90.2059474160647,1
47000,경북,20230731,11,S,92.3552707406231,0
41A05,경원권,20230731,11,S,81.2343136839818,1
41A04,경의권,20230731,11,S,84.8246093272957,1
29000,광주,20230731,11,S,88.6623695783526,0
27000,대구,20230731,11,S,76.6985232790133,0
30000,대전,20230731,11,S,84.5958554149173,0
11A11,도심권,20230731,11,S,93.7405274484695,2
11A15,동남권,20230731,11,S,97.6582954735052,2
41A06,동부1권,20230731,11,S,83.9163398213108,1
41A07,동부2권,20230731,11,S,98.3702853609149,1
26A01,동부산권,20230731,11,S,84.8573127496312,1
11A12,동북권,20230731,11,S,89.8765936900124,2
26000,부산,20230731,11,S,86.5500230685529,0
11A14,서남권,20230731,11,S,90.8807148768027,2
26A03,서부산권,20230731,11,S,91.6456418078678,1
11A13,서북권,20230731,11,S,88.5130470980911,2
11000,서울,20230731,11,S,92.498719609017,0
41A01,서해안권,20230731,11,S,85.7427035304324,1
36000,세종,20230731,11,S,75.5013838785568,0
A2000,수도권,20230731,11,S,87.162713601413,0
31000,울산,20230731,11,S,83.5454384007657,0
28000,인천,20230731,11,S,87.7910167810802,0
A1000,전국,20230731,11,S,87.6872640200491,0
46000,전남,20230731,11,S,92.7461840139876,0
45000,전북,20230731,11,S,90.0711039610796,0
50000,제주,20230731,11,S,99.3752009493675,0
26A02,중부산권,20230731,11,S,84.7096555041789,1
A2001,지방권,20230731,11,S,88.071172696564,0
44000,충남,20230731,11,S,92.2389535380954,0
43000,충북,20230731,11,S,90.2607331436101,0
A5000,5대광역시,20230731,12,D,80.6624813866029,0
A3000,6대광역시,20230731,12,D,79.7088178422805,0
A6000,8개도,20230731,12,D,91.2899049787127,0
A9000,9개도,20230731,12,D,87.3360922392508,0
11A02,강남지역,20230731,12,D,86.2166997317926,1
11A01,강북지역,20230731,12,D,85.4875569261658,1
42000,강원,20230731,12,D,92.7285340159725,0
41000,경기,20230731,12,D,83.7145079370425,0
48000,경남,20230731,12,D,92.2314408904664,0
41A02,경부1권,20230731,12,D,91.0509972654404,1
41A03,경부2권,20230731,12,D,82.0414374496477,1
47000,경북,20230731,12,D,94.8208084694389,0
41A05,경원권,20230731,12,D,82.6562706013575,1
41A04,경의권,20230731,12,D,80.578273772695,1
29000,광주,20230731,12,D,87.8924385109197,0
27000,대구,20230731,12,D,71.0303646776486,0
30000,대전,20230731,12,D,79.6939338582142,0
11A11,도심권,20230731,12,D,87.9492738769246,2
11A15,동남권,20230731,12,D,85.877389663435,2
41A06,동부1권,20230731,12,D,83.6640218797963,1
41A07,동부2권,20230731,12,D,99.2603170875335,1
26A01,동부산권,20230731,12,D,82.7276849988991,1
11A12,동북권,20230731,12,D,85.3080423395802,2
26000,부산,20230731,12,D,84.340606635663,0
11A14,서남권,20230731,12,D,86.4952090653306,2
26A03,서부산권,20230731,12,D,86.4374288257877,1
11A13,서북권,20230731,12,D,85.0878131110428,2
11000,서울,20230731,12,D,85.7499581296605,0
41A01,서해안권,20230731,12,D,86.0477241869549,1
36000,세종,20230731,12,D,71.5470907930766,0
A2000,수도권,20230731,12,D,83.1471131523005,0
31000,울산,20230731,12,D,79.2073463333864,0
28000,인천,20230731,12,D,77.7381360319689,0
A1000,전국,20230731,12,D,84.2217764285239,0
46000,전남,20230731,12,D,84.8850440630573,0
45000,전북,20230731,12,D,89.8309399536068,0
50000,제주,20230731,12,D,102.763754446821,0
26A02,중부산권,20230731,12,D,83.8898046547842,1
A2001,지방권,20230731,12,D,85.3250424308753,0
44000,충남,20230731,12,D,89.1874167302426,0
43000,충북,20230731,12,D,92.05679455708,0
A5000,5대광역시,20230731,12,S,86.8772441006442,0
