region_cd,region_nm,research_date,apt_type,age_gbn,tr_gbn,indices,level_no
11000,서울,202306,1,11,D,85.03459045005671,0
11A01,강북지역,202306,1,11,D,84.83781233231433,1
11A02,강남지역,202306,1,11,D,85.27593672973153,1
11A11,도심권,202306,1,11,D,89.15354715462345,2
11A12,동북권,202306,1,11,D,85.39828391490127,2
11A13,서북권,202306,1,11,D,82.72931395715517,2
11A14,서남권,202306,1,11,D,83.23609932283702,2
11A15,동남권,202306,1,11,D,86.74929914254245,2
26000,부산,202306,1,11,D,80.50231724532765,0
26A01,동부산권,202306,1,11,D,77.81886479809133,1
26A02,중부산권,202306,1,11,D,78.83355143808127,1
26A03,서부산권,202306,1,11,D,86.52034246524777,1
27000,대구,202306,1,11,D,68.35865860446798,0
28000,인천,202306,1,11,D,74.43299500654115,0
29000,광주,202306,1,11,D,82.02879114197705,0
30000,대전,202306,1,11,D,84.15371651948657,0
31000,울산,202306,1,11,D,76.63866775146039,0
36000,세종,202306,1,11,D,71.8294545518929,0
41000,경기,202306,1,11,D,77.91365414868186,0
41A01,서해안권,202306,1,11,D,76.93704714683562,1
41A02,경부1권,202306,1,11,D,80.56400619141523,1
41A03,경부2권,202306,1,11,D,79.84465193154075,1
41A04,경의권,202306,1,11,D,79.67020163881543,1
41A05,경원권,202306,1,11,D,71.3862749510066,1
41A06,동부1권,202306,1,11,D,76.97767676899569,1
41A07,동부2권,202306,1,11,D,94.33482195731189,1
42000,강원,202306,1,11,D,91.654044388882,0
43000,충북,202306,1,11,D,91.78991987991346,0
44000,충남,202306,1,11,D,86.41516220987843,0
45000,전북,202306,1,11,D,87.31019719832246,0
46000,전남,202306,1,11,D,89.27663408359358,0
47000,경북,202306,1,11,D,90.92099896174497,0
48000,경남,202306,1,11,D,89.79918233086971,0
50000,제주,202306,1,11,D,98.52253022326872,0
A1000,전국,202306,1,11,D,81.61613395952806,0
A2000,수도권,202306,1,11,D,78.664929581816,0
A2001,지방권,202306,1,11,D,84.15981089697934,0
A3000,6대광역시,202306,1,11,D,76.8055768110179,0
A5000,5대광역시,202306,1,11,D,77.40025499819525,0
A6000,8개도,202306,1,11,D,89.94920239692775,0
A9000,9개도,202306,1,11,D,83.66173471578811,0
11000,서울,202306,1,11,R,99.71789360148009,0
11A01,강북지역,202306,1,11,R,100.43976738551282,1
11A02,강남지역,202306,1,11,R,99.15977146404339,1
11A11,도심권,202306,1,11,R,101.73857544151161,2
11A12,동북권,202306,1,11,R,100.28953300825354,2
11A13,서북권,202306,1,11,R,100.29462065853114,2
11A14,서남권,202306,1,11,R,99.2049644566238,2
11A15,동남권,202306,1,11,R,99.17648850775633,2
26000,부산,202306,1,11,R,101.40661673390811,0
26A01,동부산권,202306,1,11,R,101.8275390560254,1
26A02,중부산권,202306,1,11,R,99.83014523059207,1
26A03,서부산권,202306,1,11,R,103.72839116235524,1
27000,대구,202306,1,11,R,92.34853802428064,0
28000,인천,202306,1,11,R,101.59612993027764,0
29000,광주,202306,1,11,R,97.19928633586504,0
30000,대전,202306,1,11,R,100.78362021084062,0
31000,울산,202306,1,11,R,110.06794297071112,0
36000,세종,202306,1,11,R,91.25604170463977,0
41000,경기,202306,1,11,R,99.33442642498228,0
41A01,서해안권,202306,1,11,R,100.55484053147056,1
41A02,경부1권,202306,1,11,R,98.76754433595697,1
41A03,경부2권,202306,1,11,R,100.40634997924857,1
41A04,경의권,202306,1,11,R,99.80246574457897,1
41A05,경원권,202306,1,11,R,91.56251295677752,1
41A06,동부1권,202306,1,11,R,97.95301554803825,1
41A07,동부2권,202306,1,11,R,104.6386899936368,1
42000,강원,202306,1,11,R,101.58704493563502,0
43000,충북,202306,1,11,R,109.5340020183896,0
44000,충남,202306,1,11,R,102.15947055212702,0
45000,전북,202306,1,11,R,101.77180030305666,0
46000,전남,202306,1,11,R,99.59989422109658,0
47000,경북,202306,1,11,R,106.87487701061498,0
48000,경남,202306,1,11,R,105.760258993231,0
50000,제주,202306,1,11,R,106.74909460431691,0
A1000,전국,202306,1,11,R,100.88676750246826,0
A2000,수도권,202306,1,11,R,99.7149573514519,0
A2001,지방권,202306,1,11,R,101.95757170670205,0
A3000,6대광역시,202306,1,11,R,99.98642569132784,0
A5000,5대광역시,202306,1,11,R,99.55068226192174,0
A6000,8개도,202306,1,11,R,104.67972799979945,0
A9000,9개도,202306,1,11,R,101.91943691086264,0
11000,서울,202306,1,11,S,91.98344234773167,0
11A01,강북지역,202306,1,11,S,89.45592750946827,1
11A02,강남지역,202306,1,11,S,94.03959886759652,1
11A11,도심권,202306,1,11,S,93.3720068361548,2
11A12,동북권,202306,1,11,S,90.0615091447976,2
11A13,서북권,202306,1,11,S,87.50715630719314,2
11A14,서남권,202306,1,11,S,90.44147144563074,2
11A15,동남권,202306,1,11,S,96.84437354719819,2
26000,부산,202306,1,11,S,86.25169412253159,0
26A01,동부산권,202306,1,11,S,84.41556775601246,1
26A02,중부산권,202306,1,11,S,84.57008827852366,1
26A03,서부산권,202306,1,11,S,91.33104661152488,1
27000,대구,202306,1,11,S,76.140396637212,0
28000,인천,202306,1,11,S,86.19341163481543,0
29000,광주,202306,1,11,S,88.69681622402862,0
30000,대전,202306,1,11,S,83.31260845958226,0
31000,울산,202306,1,11,S,82.94332833074147,0
36000,세종,202306,1,11,S,75.02544009525614,0
41000,경기,202306,1,11,S,84.7570485640529,0
41A01,서해안권,202306,1,11,S,84.3252336123774,1
41A02,경부1권,202306,1,11,S,84.74522686061695,1
41A03,경부2권,202306,1,11,S,89.81586359535008,1
41A04,경의권,202306,1,11,S,84.49861814526729,1
41A05,경원권,202306,1,11,S,80.43421979714559,1
41A06,동부1권,202306,1,11,S,82.46698940280952,1
41A07,동부2권,202306,1,11,S,95.6192549651585,1
42000,강원,202306,1,11,S,97.67014408857695,0
43000,충북,202306,1,11,S,89.88537205406537,0
44000,충남,202306,1,11,S,92.40013699353892,0
45000,전북,202306,1,11,S,90.6715866077882,0
46000,전남,202306,1,11,S,92.7322051663981,0
47000,경북,202306,1,11,S,92.3126213203694,0
48000,경남,202306,1,11,S,92.19609549751608,0
50000,제주,202306,1,11,S,99.43521264966962,0
