region_cd,region_nm,research_date,apt_type,jeon_snd_indices,level_no
11000,서울,202306,0,85.35947712418302,0
11A01,강북지역,202306,0,84.04892661008488,1
11A02,강남지역,202306,0,86.80021953896815,1
11A11,도심권,202306,0,82.77243589743591,2
11A12,동북권,202306,0,85.59863655730722,2
11A13,서북권,202306,0,81.30434782608697,2
11A14,서남권,202306,0,85.42558250118879,2
11A15,동남권,202306,0,88.67618429591174,2
26000,부산,202306,0,86.28127696289906,0
26A01,동부산권,202306,0,85.58768656716418,1
26A02,중부산권,202306,0,89.52347582340575,1
26A03,서부산권,202306,0,82.31083844580778,1
27000,대구,202306,0,79.29964539007092,0
28000,인천,202306,0,85.57692307692307,0
29000,광주,202306,0,92.45041586692258,0
30000,대전,202306,0,80.173564753004,0
31000,울산,202306,0,79.26447574334898,0
36000,세종,202306,0,98.41584158415843,0
41000,경기,202306,0,87.38549145828175,0
41A01,서해안권,202306,0,89.8786717752235,1
41A02,경부1권,202306,0,94.00739176346359,1
41A03,경부2권,202306,0,91.02399314481576,1
41A04,경의권,202306,0,74.78944413250983,1
41A05,경원권,202306,0,85.3398058252427,1
41A06,동부1권,202306,0,85.2216748768473,1
41A07,동부2권,202306,0,85.04761904761904,1
42000,강원,202306,0,91.59525379037574,0
43000,충북,202306,0,94.30817610062893,0
44000,충남,202306,0,94.15518121490557,0
45000,전북,202306,0,84.16918429003022,0
46000,전남,202306,0,90.16077170418006,0
47000,경북,202306,0,93.65114235500879,0
48000,경남,202306,0,90.98644815631894,0
50000,제주,202306,0,89.29188255613127,0
A1000,전국,202306,0,87.5200845665962,0
A2000,수도권,202306,0,86.48021767250994,0
A2001,지방권,202306,0,88.4570555845826,0
A3000,6대광역시,202306,0,84.23058786545111,0
A5000,5대광역시,202306,0,83.87609213661636,0
A6000,8개도,202306,0,91.331096196868,0
A9000,9개도,202306,0,89.52159267249536,0
11000,서울,202306,1,87.22927557879015,0
11A01,강북지역,202306,1,84.8841625522218,1
11A02,강남지역,202306,1,89.49687844289386,1
11A11,도심권,202306,1,84.23423423423424,2
11A12,동북권,202306,1,85.84354932866316,2
11A13,서북권,202306,1,82.45315161839864,2
11A14,서남권,202306,1,88.23911630929176,2
11A15,동남권,202306,1,91.13175675675674,2
26000,부산,202306,1,85.7921511627907,0
26A01,동부산권,202306,1,87.10247349823322,1
26A02,중부산권,202306,1,88.47533632286995,1
26A03,서부산권,202306,1,80.58375634517768,1
27000,대구,202306,1,77.66129032258065,0
28000,인천,202306,1,84.99999999999999,0
29000,광주,202306,1,92.12355212355212,0
30000,대전,202306,1,78.61524978089396,0
31000,울산,202306,1,77.65392781316349,0
36000,세종,202306,1,98.59154929577464,0
41000,경기,202306,1,87.76223776223776,0
41A01,서해안권,202306,1,90.82909659757527,1
41A02,경부1권,202306,1,94.79974160206719,1
41A03,경부2권,202306,1,91.23393316195373,1
41A04,경의권,202306,1,74.81099656357388,1
41A05,경원권,202306,1,82.8167115902965,1
41A06,동부1권,202306,1,85.5325164938737,1
41A07,동부2권,202306,1,85.53113553113553,1
42000,강원,202306,1,89.57027752909579,0
43000,충북,202306,1,93.68729096989966,0
44000,충남,202306,1,93.8584779706275,0
45000,전북,202306,1,83.22632423756019,0
46000,전남,202306,1,87.12487899322362,0
47000,경북,202306,1,92.40729841082991,0
