region_cd,region_nm,research_date,apt_type,tr_gbn,bunwi1,bunwi2,bunwi3,bunwi4,bunwi5,rate,level_no
11000,서울,202302,1,D,216474.9766573296,357135.3874883287,453951.4472455649,582893.5574229691,1014526.1194029851,4.686574564269086,0
11000,서울,202302,0,D,142757.77777777778,266136.2745098039,386739.86928104574,522948.3660130719,941178.431372549,6.592834702411965,0
A1000,전국,202301,1,D,71791.08333333333,151187.41666666666,224769.09722222222,315867.0138888889,602013.1944444445,8.385626271291043,0
11000,서울,202303,1,D,213189.91596638656,350235.29411764705,443365.5462184874,569270.7749766574,995708.9552238806,4.67052557673916,0
11000,서울,202304,0,D,141283.59477124183,261494.77124183008,376767.3202614379,508443.46405228757,918708.1699346405,6.502582068513752,0
11000,서울,202302,1,S,395818.39402427635,659782.4463118581,862206.3492063492,1170126.9841269841,2074180.037313433,5.240231552215886,0
A1000,전국,202302,1,S,95639.16666666667,202687.11111111112,326990.6388888889,511739.5833333333,1103940.5555555555,11.542766358506073,0
A1000,전국,202304,1,S,94540.48611111111,199032,319414.90277777775,501744.375,1090611.111111111,11.535916050075548,0
A1000,전국,202305,1,S,94268.06944444444,198133.11111111112,318103.1666666667,500921.18055555556,1092878.0555555555,11.593300488662578,0
A1000,전국,202305,0,D,47935.144291754754,113763.35835095137,183011.09936575053,269299.0803382664,536664.3868921776,11.195635161246159,0
11000,서울,202305,1,S,389893.370681606,647748.8328664799,847784.3137254902,1153229.6918767507,2085370.3358208956,5.348565768572267,0
11000,서울,202301,0,S,215318.49673202613,469620.2614379085,724375.816993464,1037343.7908496732,1933868.6274509805,8.981432885711486,0
A1000,전국,202301,0,S,73133.34460887949,166871.99682875266,285361.43234672304,469081.0644820296,1059480.8953488371,14.486974457615606,0
A1000,전국,202303,0,D,48110.1955602537,115051.4376321353,185983.84778012685,272749.7357293869,540925.0528541226,11.243459864482624,0
A1000,전국,202303,1,D,70797.15277777778,146274.77777777778,213266.25,299086.1111111111,568848.4027777778,8.034905083871271,0
A1000,전국,202304,0,S,72327.10359408034,163295.4756871036,275629.9154334038,451217.32558139536,1033071.553911205,14.28332537286558,0
11000,서울,202304,1,D,211974.22969187674,347148.4593837535,440259.5704948646,564849.6732026144,989170.7089552239,4.666466817183725,0
11000,서울,202306,1,S,389080.11204481794,647018.6741363212,848293.1839402427,1154865.5462184874,2103015.8582089553,5.405097287436552,0
11000,서울,202301,1,D,221702.61437908496,368281.97945845005,471207.2829131653,606829.131652661,1048818.0970149254,4.730743026880016,0
11000,서울,202301,1,S,399991.12978524744,667643.3239962652,873025.2100840337,1188373.482726424,2086330.223880597,5.215941225998521,0
A1000,전국,202303,0,S,72504.8287526427,164218.2801268499,277656.57505285414,454116.3847780127,1036841.4482029598,14.300308904117898,0
11000,서울,202303,0,S,213677.51633986927,462188.8888888889,710769.8039215687,1014576.4705882353,1916068.954248366,8.967106072127505,0
A1000,전국,202304,0,D,48009.04862579281,114348.77061310782,184199.22832980973,270180.19027484144,536800.8033826639,11.181242260532283,0
11000,서울,202304,1,S,390537.441643324,649948.6461251167,849144.7245564893,1154273.5760971054,2070002.7985074627,5.300395244556312,0
11000,서울,202305,0,D,140854.18300653595,260386.60130718953,376215.03267973854,508283.3333333333,919303.2679738562,6.52663093385873,0
A1000,전국,202306,0,D,47877.16966173361,113255.38372093023,182232.4312896406,269170.06342494715,537740.9196617337,11.23167729966146,0
11000,서울,202306,1,D,210755.929038282,346762.83846872085,440951.4472455649,566225.0233426704,992121.2686567164,4.707441793851057,0
A1000,전국,202302,1,D,71289.31944444444,148410.13888888888,217591.45833333334,305138.19444444444,580623.6111111111,8.144608696448412,0
11000,서울,202305,1,D,211045.1914098973,346618.1139122316,440551.8207282913,564742.2969187675,990186.567164179,4.691822450676043,0
11000,서울,202306,0,S,212183.72549019608,458232.6797385621,704722.2222222222,1009645.0980392157,1939117.6470588236,9.138861345652169,0
A1000,전국,202306,1,S,94053.01388888889,197589.31944444444,317454.625,501230.90277777775,1097819.4444444445,11.672347318304674,0
A1000,전국,202302,0,S,72799.24418604652,165432.02959830867,280928.28752642707,459803.76321353065,1044727.198731501,14.35079732505993,0
11000,서울,202301,0,D,144212.4183006536,270953.5947712418,397983.00653594773,542522.8758169934,970833.0065359477,6.7319653742436945,0
A1000,전국,202301,1,S,96381.77777777778,205318.86111111112,333960.5833333333,523042.6388888889,1120927.7777777778,11.630079913676628,0
11000,서울,202303,0,D,142106.7973856209,262922.8758169935,379869.9346405229,511841.8300653595,924443.1372549019,6.505270361883772,0
11000,서울,202305,0,S,212356.60130718953,459150.6535947712,704839.8692810457,1008936.6013071896,1925491.503267974,9.067255227364504,0
A1000,전국,202305,0,S,72160.6490486258,162691.12050739958,274496.1416490486,450250.19027484144,1034646.0147991544,14.338091860869394,0
A1000,전국,202306,0,S,72077.72727272728,162268.7621564482,273935.7610993658,450157.5264270613,1038684.7674418605,14.410620405825107,0
11000,서울,202302,0,S,214290.71895424835,465589.54248366016,716398.0392156863,1023686.9281045751,1921224.5098039217,8.96550498864166,0
A1000,전국,202302,0,D,48248.604651162794,116067.97885835095,188938.45665961946,277741.310782241,551173.4249471459,11.423613779758552,0
A1000,전국,202301,0,D,48406.489429175475,117226.26849894291,193448.16596194502,286809.05919661734,569541.955602537,11.76581822641457,0
11000,서울,202303,1,S,392303.548085901,654042.9505135388,854399.6265172736,1158666.6666666667,2070557.8358208956,5.277948277356683,0
A1000,전국,202305,1,D,70248.76388888889,143867.76388888888,209776.18055555556,295241.94444444444,564256.6666666666,8.032264703748247,0
A1000,전국,202306,1,D,70037.26388888889,143117.59722222222,209047.75,295254.8611111111,565828.8888888889,8.078969072614717,0
A1000,전국,202303,1,S,94993.97222222222,200520.34722222222,322149.31944444444,505057.3611111111,1094909.1666666667,11.52609098296588,0
11000,서울,202304,0,S,213019.86928104574,460223.5294117647,706736.4705882353,1010370.5882352941,1914735.294117647,8.988529100970666,0
A1000,전국,202304,1,D,70509.31944444444,144888.29166666666,210983.33333333334,296141.80555555556,564113.4722222222,8.000551936495393,0
11000,서울,202306,0,D,140540.39215686274,259952.81045751635,376115.6862745098,508789.2156862745,921224.8366013071,6.554875950346654,0
A1000,전국,202207,1,S,101211.35714285714,221750.64285714287,374819.84285714285,601265.5714285715,1250842.142857143,12.358713272578813,0
11000,서울,202207,1,D,247935.57692307694,427462.98076923075,556492.795389049,718163.4615384615,1211926.9932756964,4.888072169052616,0
11000,서울,202211,0,D,147883.32217012727,285022.3040857334,433519.75887474883,598152.7126590757,1058091.3654618473,7.154906651641235,0
