region_cd,region_nm,research_date,apt_type,contract_type,indices,level_no
11A11,도심권,202301,1,0,153.92132767958225,1
11A13,서북권,202305,1,0,148.3811447262764,1
11A15,동남권,202301,1,0,139.2105928334021,1
26000,부산,202302,1,0,104.794565496032,0
A2000,수도권,202304,1,0,135.20271143742053,0
29000,광주,202301,1,0,127.25734938354098,0
36000,세종,202302,1,0,121.33510971481776,0
41000,경기,202302,1,0,127.71290553925385,0
41000,경기,202303,1,0,129.73454111024762,0
44000,충남,202301,1,0,102.77562469131863,0
44000,충남,202305,1,0,103.54272992230405,0
27000,대구,202304,1,0,102.47497419075017,0
47000,경북,202304,1,0,99.28742805705612,0
A5000,5대광역시,202301,1,0,109.09303012945881,0
29000,광주,202303,1,1,107.50674709725304,0
A1000,전국,202301,1,1,111.63869067447237,0
30000,대전,202304,1,1,120.0829559076715,0
A5000,5대광역시,202304,1,1,103.815862754436,0
31000,울산,202304,1,1,105.93174179170687,0
50000,제주,202303,1,0,107.97518185395919,0
36000,세종,202303,1,1,130.49558460001552,0
43000,충북,202301,1,1,116.23795489917458,0
11A13,서북권,202301,1,1,111.99609287801233,1
A6000,8개도,202302,1,1,113.96060001144492,0
A6000,8개도,202304,1,1,113.48200889326492,0
A3000,6대광역시,202303,3,0,111.81097259879952,0
A1000,전국,202302,3,0,117.32643628752466,0
A1000,전국,202305,3,0,116.73485180943248,0
A5000,5대광역시,202302,3,0,107.77851722886287,0
A2000,수도권,202302,0,0,129.02331262445344,0
A6000,8개도,202303,0,0,102.81355445656466,0
A6000,8개도,202304,0,0,102.9730950220659,0
A2001,지방,202301,0,0,105.23199316328984,0
A6000,8개도,202304,3,0,96.19629204692569,0
A2001,지방,202301,3,0,102.53798469262452,0
41000,경기,202301,3,0,116.75785886150413,0
A3000,6대광역시,202301,0,0,110.70536853312989,0
A3000,6대광역시,202305,0,0,112.8665354471628,0
41000,경기,202301,0,0,123.54240232317146,0
11000,서울,202302,1,0,146.23856093655723,0
11000,서울,202303,1,0,148.3122371782734,0
11A13,서북권,202303,1,0,144.06092783676547,1
11A12,동북권,202303,1,0,153.04149313278282,1
11A15,동남권,202304,1,0,150.35640354670667,1
28000,인천,202302,1,0,115.29199387953571,0
28000,인천,202303,1,0,117.52733024363233,0
A2000,수도권,202301,1,0,129.38992654922197,0
30000,대전,202301,1,0,131.4447843433706,0
30000,대전,202305,1,0,135.80775304074223,0
31000,울산,202302,1,0,95.7614378286062,0
36000,세종,202301,1,0,117.54957043944079,0
41000,경기,202304,1,0,131.09658864927906,0
45000,전북,202301,1,0,108.33643778898275,0
45000,전북,202304,1,0,109.1384846561005,0
43000,충북,202302,1,0,104.93334052222698,0
48000,경남,202305,1,0,97.23650407903916,0
A3000,6대광역시,202303,1,0,111.48877476194379,0
29000,광주,202301,1,1,107.22863004873436,0
29000,광주,202304,1,1,108.77846944475328,0
A3000,6대광역시,202302,1,1,104.22057930727213,0
30000,대전,202301,1,1,123.02906966704897,0
A5000,5대광역시,202301,1,1,105.0324644654062,0
A5000,5대광역시,202302,1,1,104.56394581448629,0
41000,경기,202302,1,1,111.79583712192628,0
41000,경기,202304,1,1,113.34692350174933,0
11A11,도심권,202303,1,1,117.83537385577894,1
42000,강원,202302,1,1,112.00736126982301,0
42000,강원,202304,1,1,110.58966655783081,0
11A12,동북권,202302,1,1,115.91961629509086,1
11A15,동남권,202303,1,1,110.14309854571714,1
11A15,동남권,202304,1,1,111.72034666667241,1
44000,충남,202303,1,1,112.27036856064517,0
44000,충남,202304,1,1,112.81913649549496,0
45000,전북,202301,1,1,103.73138984794153,0
26000,부산,202304,1,1,99.56311700307619,0
28000,인천,202305,0,0,116.37704686263322,0
A5000,5대광역시,202301,3,0,111.6460029281975,0
28000,인천,202301,3,0,112.73879589305578,0
A2001,지방,202303,0,0,106.069853506018,0
A6000,8개도,202302,3,0,95.11666681917795,0
41000,경기,202303,3,0,117.24468752614456,0
41000,경기,202304,3,0,117.46360107623079,0
A3000,6대광역시,202303,0,0,111.62952912278779,0
A1000,전국,202301,0,0,116.66574156124399,0
A5000,5대광역시,202303,0,0,110.01698590382372,0
41000,경기,202304,0,0,127.81567137370016,0
A1000,전국,202301,1,0,116.43367743013293,0
A2001,지방,202304,1,0,106.87716735671862,0
A2001,지방,202305,1,0,107.30507534692823,0
11A11,도심권,202305,1,0,158.25765257749657,1
11A13,서북권,202302,1,0,142.88003361802132,1
11A15,동남권,202305,1,0,153.38091388393002,1
28000,인천,202304,1,0,118.36114239696047,0
26000,부산,202301,1,0,103.66809906532562,0
26000,부산,202303,1,0,105.45228602090866,0
30000,대전,202302,1,0,132.09999857583205,0
31000,울산,202301,1,0,95.46796705017346,0
36000,세종,202303,1,0,124.18659402115932,0
41000,경기,202301,1,0,125.57354231214599,0
42000,강원,202301,1,0,109.18848720260479,0
42000,강원,202303,1,0,111.07761273890087,0
43000,충북,202301,1,0,104.99710207474939,0
27000,대구,202305,1,0,102.69851615482513,0
47000,경북,202301,1,0,98.25758742634227,0
47000,경북,202302,1,0,98.88440188581026,0
48000,경남,202304,1,0,96.64202572256997,0
A3000,6대광역시,202301,1,0,110.10214380770907,0
50000,제주,202302,1,1,113.59934845894166,0
30000,대전,202303,1,1,119.42502181355401,0
31000,울산,202302,1,1,107.30311143948444,0
50000,제주,202305,1,0,109.55644395819036,0
46000,전남,202302,1,0,107.02873119008049,0
46000,전남,202304,1,0,107.9078083067925,0
46000,전남,202305,1,0,106.8859658832819,0
36000,세종,202304,1,1,131.08956662112436,0
11A12,동북권,202301,1,1,117.43381502275172,1
11A12,동북권,202303,1,1,116.3652578664957,1
11A13,서북권,202303,1,1,113.27834417096885,1
11A13,서북권,202304,1,1,115.32752847145612,1
45000,전북,202302,1,1,103.80128065946283,0
11A14,서남권,202302,1,1,113.13074432134098,1
46000,전남,202304,1,1,105.4885791063516,0
26000,부산,202302,1,1,100.5300572936686,0
26000,부산,202303,1,1,100.28564141626197,0
48000,경남,202304,1,1,119.14461040133523,0
A2001,지방,202304,1,1,109.4572528735981,0
A3000,6대광역시,202302,3,0,111.31353903665146,0
11000,서울,202302,3,0,133.9619095436589,0
11000,서울,202305,3,0,134.2380669499924,0
A5000,5대광역시,202303,3,0,109.14295495668465,0
A2000,수도권,202304,3,0,121.8856921346096,0
A2000,수도권,202301,0,0,127.17032318577577,0
A2000,수도권,202304,0,0,131.29668331963197,0
A6000,8개도,202301,3,0,95.4976921151031,0
11000,서울,202301,0,0,140.24278938419724,0
A1000,전국,202304,0,0,119.3208499047556,0
A1000,전국,202305,0,0,119.98164196172098,0
11A13,서북권,202301,1,0,138.42267699187465,1
11A15,동남권,202302,1,0,142.7292689150117,1
26000,부산,202305,1,0,106.51134505419593,0
29000,광주,202305,1,0,127.40221776152008,0
42000,강원,202304,1,0,110.48882413983254,0
44000,충남,202302,1,0,102.88634817477502,0
44000,충남,202304,1,0,104.20366347773337,0
27000,대구,202303,1,0,102.09588594317384,0
A5000,5대광역시,202303,1,0,110.11677634724595,0
A6000,8개도,202301,1,0,102.70396263380799,0
28000,인천,202301,1,1,105.39813234164062,0
28000,인천,202303,1,1,104.49497229091796,0
28000,인천,202304,1,1,104.64406833441527,0
50000,제주,202301,1,1,114.55103683630709,0
A1000,전국,202303,1,1,110.86087893827224,0
A2000,수도권,202302,1,1,111.46532193673731,0
50000,제주,202304,1,0,107.10658706503173,0
46000,전남,202301,1,0,106.32473334017278,0
