region_cd,region_nm,research_date,apt_type,rate,level_no
41000,경기,202305,7,7.50441751145087,0
11A02,강남지역,202305,7,5.5,1
30000,대전,202305,7,6.838327137220595,0
48121,의창구,202305,1,5.013927576601671,2
48125,마산합포구,202305,1,5.684210526315789,2
48127,마산회원구,202305,1,4.736180904522612,2
45113,덕진구,202305,1,5.574153656749934,2
48129,진해구,202305,1,5.294117647058823,2
48240,사천시,202305,1,6,1
A2000,수도권,202305,1,5.294117647058823,0
11A01,강북지역,202305,1,4.930434782608694,1
11A13,서북권,202305,1,4.923076923076923,1
11A15,동남권,202305,1,4.5984561403650845,1
11545,금천구,202305,1,5.142857142857142,1
26470,연제구,202305,1,5.2,1
27710,달성군,202305,1,5.647058823529413,1
29200,광산구,202305,1,5.647058823529412,1
30000,대전,202305,1,5.1891891891891895,0
41135,분당구,202305,1,4.666666666666668,2
41280,고양시,202305,1,5.383177570093458,1
41287,일산서구,202305,1,5.485714285714286,2
41290,과천시,202305,1,4.505965181017468,1
41460,용인시,202305,1,5.288135593220339,1
42130,원주시,202305,1,6.000000000000001,1
44130,천안시,202305,1,6.461538461538462,1
44131,동남구,202305,1,6.708875881017799,2
11A12,동북권,202305,35,5.055833779611448,1
26000,부산,202305,35,7.3507539150625885,0
46000,전남,202305,35,7.8725408973940345,0
48000,경남,202305,35,7.866304654449801,0
11A11,도심권,202305,0,5.637935196105151,1
11A13,서북권,202305,0,5.495791475855742,1
11A15,동남권,202305,0,4.635994619458152,1
27000,대구,202304,35,6.3818221670198,0
41000,경기,202304,35,6.725228111371415,0
43000,충북,202304,35,10.431300645974385,0
45000,전북,202304,35,7.0588235294117645,0
A2000,수도권,202304,1,5.285975016574627,0
11A01,강북지역,202304,1,4.941176470588235,1
11A12,동북권,202304,1,4.909090909090909,1
11A15,동남권,202304,1,4.661188082459532,1
11440,마포구,202304,1,4.897186338664095,1
11500,강서구,202304,1,4.836428317324795,1
11545,금천구,202304,1,5.18918918918919,1
11650,서초구,202304,1,4.5,1
26000,부산,202304,1,5.221187769502157,0
26290,남구,202304,1,5.217391304347826,1
26320,북구,202304,1,5.142857142857142,1
27290,달서구,202304,1,5.219374298558918,1
28140,동구,202304,1,5.628901949688297,1
30200,유성구,202304,1,5.348436583505597,1
31110,중구,202304,1,5.054756953173206,1
41111,장안구,202304,1,5.18806669671023,2
41210,광명시,202304,1,4.9672989532442795,1
41270,안산시,202304,1,5.538461538461538,1
41285,일산동구,202304,1,5.308305647840531,2
41450,하남시,202304,1,5.290426932817921,1
42210,속초시,202304,1,6.315789473684211,1
47000,경북,202304,1,5.7886204802861325,0
47110,포항시,202304,1,5.782021165546585,1
47190,구미시,202304,1,6,1
48123,성산구,202304,1,4.5876928687607625,2
48170,진주시,202304,1,5.247492625153125,1
48220,통영시,202304,1,7.000000000000001,1
30000,대전,202304,0,6.2677314621383555,0
31000,울산,202304,0,6.785498302346374,0
11A01,강북지역,202304,7,6.071641656652433,1
11A13,서북권,202304,7,6.078177076290631,1
47000,경북,202304,7,9.037643022217182,0
48121,의창구,202303,1,5,2
50000,제주,202303,1,5.670808677450453,0
11A12,동북권,202303,1,4.828511931327204,1
11A14,서남권,202303,1,4.780761523046092,1
11215,광진구,202303,1,4.8,1
11680,강남구,202303,1,4.736842105263158,1
26200,영도구,202303,1,5.4467310833728995,1
28000,인천,202303,1,5.840937698380669,0
28245,계양구,202303,1,5.454545454545454,1
29000,광주,202303,1,5.217391304347826,0
29170,북구,202303,1,5.454545454545454,1
41280,고양시,202303,1,5.279560036663612,1
41360,남양주시,202303,1,5.6000000000000005,1
41463,기흥구,202303,1,5.28872383140161,2
41610,광주시,202303,1,5.473684210526316,1
42210,속초시,202303,1,6.392432974191931,1
43110,청주시,202303,1,5.777777777777777,1
A2000,수도권,202303,0,5.709616886348916,0
A2000,수도권,202301,35,5.011868173436096,0
44000,충남,202301,35,10.24228360966342,0
45000,전북,202301,35,7.973642141381057,0
A5000,5대광역시,202301,0,6.13012316177917,0
41000,경기,202301,0,6.257635164070215,0
43000,충북,202301,0,7.541409318703655,0
48000,경남,202301,0,6.576810694480996,0
A8000,8개시도,202301,7,8.74034291194888,0
11A13,서북권,202301,7,5.921520582682199,1
11A15,동남권,202301,7,5.094553804110496,1
31000,울산,202301,7,8.662947544086734,0
A2000,수도권,202301,1,4.941176470588235,0
11215,광진구,202301,1,4.528301886792453,1
11410,서대문구,202301,1,4.8,1
11740,강동구,202301,1,4.5,1
26380,사하구,202301,1,5.36842105263158,1
27140,동구,202301,1,4.987012987012987,1
27260,수성구,202301,1,4.7272727272727275,1
27710,달성군,202301,1,5.298479222603415,1
29170,북구,202301,1,5.454545454545454,1
30200,유성구,202301,1,4.923076923076923,1
31170,동구,202301,1,5.0717948717948715,1
41197,소사구,202301,1,,2
41270,안산시,202301,1,5.217391304347826,1
41281,덕양구,202301,1,5.017921146953405,2
41360,남양주시,202301,1,5.333333333333334,1
41410,군포시,202301,1,4.7288135593220355,1
41463,기흥구,202301,1,5.045344099286008,2
41500,이천시,202301,1,5.999999999999998,1
41650,포천시,202301,1,6.315789473684211,1
42130,원주시,202301,1,5.775162364867281,1
42210,속초시,202301,1,6.153846153846154,1
44200,아산시,202301,1,6.5968586387434565,1
45111,완산구,202301,1,5.538461538461538,2
45140,익산시,202301,1,6.009945276628812,1
47110,포항시,202301,1,5.628759302510811,1
48120,창원시,202301,1,4.571428571428571,1
48330,양산시,202301,1,5.142857142857142,1
11A02,강남지역,202303,0,4.873542119209165,1
27000,대구,202303,0,6.2087195372612065,0
28000,인천,202303,0,6.564399476813605,0
47000,경북,202303,0,7.630077142971173,0
A1000,전국,202303,35,5.590567515950999,0
11A12,동북권,202303,35,4.847301445413811,1
11A13,서북권,202303,35,4.825089160874725,1
11A15,동남권,202303,7,5.199807414540202,1
29000,광주,202303,7,7.2827586206896555,0
36000,세종,202303,7,9.473684210526317,0
42000,강원,202303,7,8.27162306612548,0
50000,제주,202303,7,6.069664031620553,0
