basYm,rprSexNm,rprAggrNm,estbYr,bizAreaNm,bizBzcCd,bizBzcCdNm,empeCntNm,fnafBasYr,saleAmt
202208,여성,30대,2010,강원도 강릉시,96,기타 개인 서비스업,0명,2014,1000000
202208,여성,60대,2019,강원도 강릉시,56,음식점 및 주점업,0명,2020,2000000
202208,남성,50대,2001,강원도 강릉시,41,종합 건설업,0명,2021,5000000
202208,여성,60대,2016,강원도 강릉시,56,음식점 및 주점업,0명,2022,2000000
202208,남성,40대,2009,강원도 강릉시,45,자동차 및 부품 판매업,0명,2012,1000000
202208,남성,60대,2015,강원도 강릉시,45,자동차 및 부품 판매업,0명,2022,2000000
202208,여성,40대,2020,강원도 강릉시,56,음식점 및 주점업,0명,2022,4000000
202208,여성,50대,2014,강원도 강릉시,56,음식점 및 주점업,0명,2021,2000000
202208,남성,50대,2016,강원도 강릉시,42,전문직별 공사업,0명,2022,4000000
202208,여성,50대,2016,강원도 강릉시,96,기타 개인 서비스업,0명,2021,5000000
